,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.26,0.17,0.0,0.77,0.38,0.44,0.0,0.03,0.22,0.09,0.06,0.0,0.34,0.02,0.0,0.02
codepurge.csv,0.8,0.62,0.75,0.4,0.92,0.35,0.44,0.68,0.1,0.48,0.13,0.64,0.05,0.25,0.41,0.38,0.19
fontforge.csv,0.96,0.88,1.0,1.0,1.0,0.58,0.96,0.23,0.9,1.0,0.39,0.9,0.89,0.97,0.99,0.85,0.99
glas.csv,0.8,0.57,0.19,0.49,0.95,0.58,0.65,0.68,0.77,0.8,0.48,0.79,0.31,0.32,0.99,0.8,0.51
gmerlin.csv,0.0,0.92,0.61,1.0,0.01,0.72,1.0,0.0,0.74,0.0,1.0,0.75,0.82,0.97,0.0,0.36,0.49
hatari.csv,0.57,0.36,0.36,0.91,0.85,0.38,0.83,0.9,0.9,0.9,0.17,0.94,0.45,0.27,0.9,0.27,0.43
jcl.csv,0.55,0.41,0.58,0.09,0.44,0.48,0.56,0.35,0.69,0.38,0.35,0.1,0.13,0.74,0.28,0.3,0.54
ltp.csv,0.29,0.69,0.86,0.71,0.46,0.58,0.83,0.77,0.65,0.65,0.3,0.49,0.49,0.72,0.65,0.18,0.65
mia.csv,0.25,0.0,0.28,0.76,0.1,0.12,0.35,0.39,0.58,0.95,0.04,0.19,0.05,0.03,0.22,0.17,0.22
net-snmp.csv,0.33,0.42,0.42,0.49,0.51,0.48,0.33,0.84,0.83,0.42,0.83,0.37,0.75,0.3,0.25,0.32,0.49
opde.csv,1.0,0.53,1.0,0.22,0.94,0.57,0.4,0.42,0.67,0.0,0.43,0.97,0.2,0.5,0.81,0.5,0.57
oppna-program-hsatools.csv,0.71,0.43,0.64,1.0,0.73,0.32,0.85,0.97,0.92,0.95,0.13,0.99,0.2,0.14,0.7,0.55,0.64
powerfolder-.csv,0.53,0.23,0.17,0.67,0.27,0.32,0.27,0.55,0.42,0.45,0.52,0.79,0.15,0.03,0.66,0.47,0.31
qlc.csv,0.0,0.81,0.0,0.6,0.27,0.52,0.54,0.0,0.34,0.05,0.13,0.79,0.85,0.54,0.29,0.0,0.48
quantlib.csv,1.0,0.01,0.0,0.0,1.0,0.18,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.28
tcl.csv,0.8,0.86,0.94,0.98,0.84,0.92,0.87,0.0,0.83,0.38,0.7,0.97,0.95,0.84,0.0,0.44,0.82
