,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.3,0.7,0.6,0.21,0.27,0.54,0.57,0.45,0.68,0.55,0.38
google-gears.csv,0.55,0.68,0.66,0.49,0.21,0.39,0.76,0.79,0.6,0.43,0.73
grafx2.csv,0.45,0.77,0.41,0.36,0.22,0.42,0.68,0.53,0.52,0.47,0.51
kmess.csv,0.38,0.09,0.61,0.04,0.28,0.31,0.71,0.17,0.62,0.42,0.32
megameknet.csv,0.6,0.69,0.65,0.47,0.18,0.52,0.74,0.76,0.56,0.52,0.7
minig.csv,0.77,0.66,0.38,0.62,0.18,0.49,0.71,0.8,0.15,0.55,0.44
ns-3.csv,0.7,0.68,0.65,0.59,0.21,0.44,0.7,0.66,0.18,0.46,0.8
omseek.csv,0.24,0.0,0.21,0.4,0.39,0.27,0.38,0.25,0.56,0.47,0.12
quickfast.csv,0.76,0.69,0.61,0.58,0.19,0.4,0.74,0.72,0.31,0.51,0.83
sylpheed-claws.csv,0.79,0.69,0.7,0.56,0.2,0.38,0.78,0.86,0.63,0.53,0.75
xamj.csv,0.75,0.66,0.62,0.6,0.23,0.37,0.63,0.73,0.54,0.6,0.73
