,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.68,0.84,0.62,0.6,0.19,0.61,0.85,0.9,0.63,0.5,0.75
google-gears.csv,0.65,0.54,0.5,0.35,0.12,0.26,0.66,0.88,0.47,0.33,0.65
grafx2.csv,0.66,0.82,0.57,0.5,0.13,0.29,0.71,0.81,0.56,0.5,0.78
kmess.csv,0.67,0.67,0.57,0.33,0.18,0.47,0.7,0.92,0.63,0.35,0.67
megameknet.csv,0.62,0.53,0.49,0.45,0.1,0.44,0.64,0.77,0.51,0.49,0.62
minig.csv,0.65,0.53,0.37,0.59,0.1,0.38,0.6,0.74,0.35,0.44,0.49
ns-3.csv,0.76,0.53,0.56,0.62,0.13,0.36,0.64,0.79,0.37,0.45,0.75
omseek.csv,0.75,0.0,0.67,0.42,0.28,0.48,0.79,0.94,0.65,0.48,1.0
quickfast.csv,0.68,0.55,0.51,0.45,0.11,0.26,0.62,0.79,0.5,0.43,0.84
sylpheed-claws.csv,0.66,0.53,0.69,0.41,0.11,0.24,0.63,0.76,0.46,0.38,0.59
xamj.csv,0.68,0.8,0.58,0.57,0.13,0.23,0.64,0.79,0.6,0.56,0.74
