,arcallians.csv,aztec.csv,synergyspace.csv,qmmp.csv,xtreemfs.csv,mplayer-ce.csv
arcallians.csv,0.3,0.97,0.6,0.18,0.43,0.35
aztec.csv,0.48,0.21,0.18,0.03,0.13,0.81
mplayer-ce.csv,0.85,0.58,0.72,0.5,0.74,0.33
qmmp.csv,0.9,0.36,0.66,0.23,0.64,0.87
synergyspace.csv,0.02,0.05,0.22,0.15,0.1,0.21
xtreemfs.csv,0.85,0.45,0.28,0.16,0.25,0.97
