,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.66,0.38,0.21,0.86,0.69,0.98,0.66,0.96,0.63,0.44
pclasses.csv,0.21,0.44,0.0,0.2,0.2,0.04,0.18,0.01,0.31,0.0
pfaedit.csv,0.11,0.35,0.0,0.32,0.14,0.04,0.63,0.16,0.44,0.56
theresa.csv,0.32,0.4,0.1,0.22,0.31,0.04,0.24,0.7,0.22,0.22
thrust.csv,0.05,0.12,0.03,0.02,0.31,0.15,0.32,0.15,0.15,0.22
tktoolkit.csv,0.34,0.71,0.14,0.22,0.71,0.77,0.45,0.14,0.5,0.89
trinitycore.csv,0.2,0.23,0.0,0.52,0.51,0.49,0.71,0.09,0.35,0.0
tzod.csv,0.11,0.27,0.21,0.24,0.26,0.15,0.47,0.71,0.36,0.33
yaprm.csv,0.38,0.17,0.0,0.24,0.09,0.28,0.29,0.3,0.26,0.0
zemljanka.csv,0.77,0.67,0.86,0.6,0.86,0.57,0.84,0.86,0.88,0.0
