,paintown.csv,triplea.csv,fbmanager.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,itext.csv,powerfolder.csv,fido.csv,megameknet.csv,fityk.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.76,0.63,0.62,0.57,0.87,0.04,0.65,0.31,0.62,0.56,0.61,0.55,0.51,0.71,0.57,0.71,0.5,0.66,0.6
fbmanager.csv,0.67,0.74,0.09,0.57,0.72,0.68,0.45,0.54,0.74,0.47,0.37,0.67,0.6,0.55,0.67,0.64,0.43,0.74,0.76
fido.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fityk.csv,0.71,0.53,0.58,0.8,0.79,0.87,0.49,0.57,0.64,0.71,0.71,1.03,0.71,0.09,0.5,0.74,0.79,1.01,0.52
fleet-simulator.csv,0.88,0.82,0.87,0.86,0.81,0.89,0.75,0.68,0.8,0.9,0.8,1.02,0.67,0.96,0.0,0.67,0.7,0.26,0.67
freenet.csv,0.76,0.82,0.77,0.02,0.65,0.65,0.76,0.88,0.81,0.81,0.66,0.7,0.47,0.75,0.89,0.68,0.65,0.24,0.8
geogebra.csv,0.74,0.6,0.69,0.85,0.59,0.68,0.79,0.59,0.75,0.85,0.82,0.94,0.58,0.78,0.13,0.87,0.07,0.57,0.93
google-caja.csv,0.44,0.68,0.5,0.58,0.65,0.56,0.01,0.82,0.51,0.43,0.83,0.68,0.54,0.74,0.3,0.55,0.51,1.02,0.68
hibernate.csv,0.78,0.76,0.95,0.68,0.82,0.59,0.65,0.72,0.7,0.66,0.48,1.04,0.67,0.89,0.44,0.07,0.62,1.03,0.7
itext.csv,0.6,0.55,0.62,0.56,0.76,0.51,0.47,0.69,0.52,0.06,0.48,1.01,0.51,0.74,0.5,0.63,0.43,0.52,0.51
k3b.csv,0.63,0.51,0.68,0.72,0.64,0.55,0.61,0.42,0.0,0.61,0.32,1.02,0.47,0.73,0.82,0.62,0.52,1.0,0.48
megameknet.csv,0.83,0.79,0.88,0.57,0.74,0.63,0.54,0.51,0.64,0.79,0.47,1.03,0.13,0.75,1.04,0.59,0.52,1.01,0.59
myfaces.csv,0.95,0.76,0.98,0.87,0.77,0.88,0.89,0.17,0.79,0.88,1.01,0.84,0.84,0.78,1.01,0.89,0.84,0.53,0.9
onotoa.csv,0.85,0.73,0.83,0.71,0.06,0.97,0.74,0.81,0.84,0.68,0.69,0.85,0.87,0.76,0.95,0.83,0.73,0.74,0.79
paintown.csv,0.07,0.52,0.47,0.55,0.57,0.7,0.44,0.55,0.73,0.62,0.62,0.84,0.48,0.66,0.46,0.57,0.48,0.6,0.56
powerfolder.csv,0.99,1.0,1.0,0.99,1.0,0.96,1.0,0.88,0.98,1.0,0.0,1.0,0.93,1.0,1.0,0.97,0.93,0.97,0.99
triplea.csv,0.47,0.05,0.48,0.74,0.78,0.46,0.65,0.51,0.58,0.51,0.42,0.78,0.46,0.56,0.19,0.63,0.51,0.5,0.49
xamj.csv,0.88,0.4,0.86,0.87,0.73,0.72,0.53,0.46,0.77,0.85,0.5,0.87,0.74,0.91,0.15,0.88,0.67,1.03,0.08
