,paintown.csv,triplea.csv,fbmanager.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,itext.csv,powerfolder.csv,fido.csv,megameknet.csv,fityk.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.65,0.7,0.62,0.74,0.73,1.0,0.88,0.42,0.83,0.67,0.17,0.08,0.55,0.71,1.0,0.51,0.43,1.0,0.57
fbmanager.csv,0.55,0.69,1.0,0.74,0.82,0.69,0.92,0.2,0.8,0.79,0.1,0.04,0.55,0.76,1.0,0.39,0.39,1.0,0.28
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fityk.csv,0.52,0.73,0.61,0.66,0.79,0.38,0.85,0.2,0.8,0.65,0.04,0.0,0.31,0.96,1.0,0.27,0.21,0.98,0.42
fleet-simulator.csv,0.5,0.62,0.54,0.68,0.81,0.51,0.77,0.18,0.73,0.56,0.05,0.02,0.27,0.67,1.0,0.33,0.27,1.0,0.36
freenet.csv,0.47,0.61,0.52,0.99,0.84,0.57,0.76,0.14,0.69,0.55,0.06,0.04,0.37,0.69,0.82,0.3,0.26,1.0,0.32
geogebra.csv,0.72,0.71,0.63,0.65,0.87,0.69,0.74,0.18,0.72,0.54,0.04,0.03,0.51,0.67,0.98,0.29,0.98,1.0,0.28
google-caja.csv,0.72,0.64,0.67,0.73,0.85,0.63,1.0,0.14,0.86,0.71,0.05,0.05,0.32,0.7,1.0,0.38,0.33,0.98,0.36
hibernate.csv,0.43,0.57,0.33,0.79,0.77,0.92,0.85,0.14,0.73,0.56,0.07,0.0,0.38,0.55,0.97,1.0,0.27,0.98,0.39
itext.csv,0.71,0.72,0.7,0.74,0.8,0.62,0.91,0.24,0.82,1.0,0.09,0.0,0.48,0.66,1.0,0.38,0.38,1.0,0.46
k3b.csv,0.54,0.72,0.55,0.67,0.86,0.61,0.79,0.28,1.0,0.6,0.11,0.0,0.36,0.68,0.83,0.39,0.32,0.98,0.56
megameknet.csv,0.41,0.61,0.67,0.79,0.91,0.6,0.92,0.24,0.74,0.55,0.08,0.0,0.98,0.75,0.77,0.46,0.32,0.98,0.54
myfaces.csv,0.47,0.58,0.48,0.63,0.82,0.43,0.68,0.95,0.7,0.53,0.03,0.04,0.19,0.69,0.86,0.28,0.21,1.0,0.3
onotoa.csv,0.42,0.6,0.6,0.68,0.99,0.29,0.72,0.11,0.62,1.0,0.04,0.04,0.2,0.63,0.83,0.26,0.22,1.0,0.28
paintown.csv,1.0,0.84,0.74,0.74,0.88,0.56,0.89,0.19,0.69,0.6,0.06,0.02,0.38,0.71,0.97,0.38,0.35,1.0,0.4
powerfolder.csv,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.26,1.0,0.0,1.0,0.0,0.45,0.0,0.0,0.71,0.67,1.0,0.5
triplea.csv,0.65,0.97,0.68,0.69,0.79,0.73,0.79,0.22,0.77,0.67,0.08,0.03,0.4,0.76,1.0,0.34,0.33,1.0,0.43
xamj.csv,0.5,0.78,0.51,0.67,0.83,0.53,0.83,0.27,0.73,0.53,0.07,0.03,0.23,0.56,0.98,0.29,0.25,0.98,1.0
