,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.39,0.31,0.37,0.43,0.56,0.64,0.27,0.43,0.15,0.5,0.14,0.74,0.94
aubit4gl.csv,0.04,0.4,0.38,0.13,0.4,0.1,0.68,0.16,0.07,0.19,0.29,0.67,0.07
bionote.csv,0.59,0.41,0.37,0.34,0.59,0.36,0.46,0.47,0.39,0.46,0.94,0.22,0.2
liferea.csv,0.65,0.76,0.19,0.61,0.7,0.64,0.54,0.55,0.14,0.55,0.15,0.18,0.48
opensim4opencog.csv,0.59,0.4,0.34,0.64,0.65,0.58,0.42,0.6,0.14,0.63,0.43,0.36,0.5
pclasses.csv,0.6,0.82,0.0,0.59,0.17,0.1,0.05,0.57,0.0,0.1,0.0,0.5,0.48
plearn.csv,0.69,0.48,0.59,0.42,0.71,0.36,0.02,0.39,0.48,0.55,0.0,0.41,0.0
psrchive.csv,0.59,0.31,0.7,0.34,0.67,0.58,0.64,0.51,0.15,0.56,0.42,0.71,0.11
re2c.csv,0.43,0.21,1.0,0.48,0.55,0.42,0.39,0.4,0.07,0.46,0.27,0.7,0.84
rebecca-aiml.csv,0.51,0.0,0.74,0.57,0.62,0.57,0.65,0.56,0.21,0.64,0.61,0.85,0.61
thrust.csv,0.04,0.0,0.37,0.13,0.09,0.0,0.16,0.38,0.63,0.22,0.39,0.34,0.11
tzod.csv,0.51,0.31,0.0,0.65,0.58,0.63,0.43,0.11,0.15,0.42,0.0,0.28,0.4
yaprm.csv,0.61,0.4,0.35,0.46,0.47,0.18,0.57,0.44,0.14,0.66,0.75,0.23,0.04
