,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.38,0.21,0.22,0.35,0.26,0.41,0.31,0.15,0.19,0.49,0.06,0.55,0.8
aubit4gl.csv,0.06,0.24,0.27,0.18,0.26,0.09,0.68,0.08,0.1,0.24,0.27,0.49,0.11
bionote.csv,0.5,0.33,0.16,0.37,0.36,0.38,0.48,0.26,0.32,0.48,0.57,0.19,0.2
liferea.csv,0.47,0.39,0.06,0.55,0.35,0.5,0.55,0.32,0.12,0.55,0.15,0.2,0.32
opensim4opencog.csv,0.51,0.28,0.1,0.58,0.37,0.5,0.45,0.33,0.15,0.62,0.29,0.4,0.46
pclasses.csv,0.49,0.58,0.0,0.51,0.22,0.11,0.07,0.25,0.0,0.13,0.0,0.36,0.49
plearn.csv,0.54,0.29,0.21,0.43,0.35,0.35,0.04,0.21,0.34,0.56,0.0,0.34,0.42
psrchive.csv,0.48,0.22,0.5,0.38,0.5,0.36,0.69,0.2,0.17,0.56,0.24,0.53,0.16
re2c.csv,0.39,0.18,0.92,0.4,0.26,0.3,0.44,0.14,0.11,0.47,0.09,0.52,0.74
rebecca-aiml.csv,0.4,0.0,0.28,0.49,0.29,0.39,0.71,0.21,0.27,0.64,0.26,0.77,0.56
thrust.csv,0.06,0.0,0.15,0.19,0.07,0.0,0.22,0.16,0.57,0.26,0.15,0.24,0.15
tzod.csv,0.47,0.24,0.0,0.6,0.31,0.47,0.49,0.09,0.18,0.44,0.0,0.28,0.31
yaprm.csv,0.47,0.24,0.12,0.5,0.31,0.22,0.58,0.29,0.14,0.66,0.33,0.25,0.03
