,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.54,0.3,0.34,0.36,0.31,0.01,0.7,0.62,0.1,0.38,0.06,0.72,0.46,0.05
emeraldemu.csv,0.7,0.64,0.09,0.36,0.73,0.31,0.55,0.18,0.7,0.02,0.62,0.33,0.09,0.14
frogatto.csv,0.82,0.74,0.09,0.6,0.63,0.64,0.61,0.49,0.43,0.75,0.13,0.59,0.67,0.63
grafx2.csv,0.73,0.69,0.78,0.5,0.73,0.55,0.65,0.72,0.75,0.72,0.66,0.6,0.48,0.55
jahshakafx.csv,0.81,0.68,0.7,0.51,0.76,0.56,0.61,0.46,0.74,0.73,0.68,0.54,0.75,0.25
nassp.csv,0.56,0.42,0.0,0.47,0.48,0.38,0.24,0.5,0.88,0.68,0.5,0.32,0.65,0.55
netatalk.csv,0.77,0.73,0.61,0.59,0.65,0.63,0.52,0.65,0.61,0.66,0.74,0.55,0.77,0.68
open-beos.csv,0.79,0.75,0.72,0.43,0.69,0.64,0.39,0.21,0.67,0.51,0.72,0.59,0.43,0.45
psycle.csv,0.47,0.68,0.75,0.64,0.68,0.66,0.45,0.74,0.09,0.74,0.66,0.75,0.51,0.5
quantlib.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.27,0.13,0.0,0.0,0.71
reaper-ecad.csv,0.57,0.19,0.72,0.22,0.43,0.2,0.31,0.0,0.0,0.0,0.34,0.41,0.17,0.0
sbml.csv,0.65,0.71,0.75,0.66,0.49,0.65,0.68,0.76,0.49,0.68,0.76,0.66,0.69,0.58
unimrcp.csv,0.71,0.66,0.69,0.66,0.63,0.49,0.4,0.79,0.73,0.52,0.66,0.66,0.55,0.65
unladen-swallow.csv,0.32,0.48,0.05,0.48,0.45,0.44,0.38,0.73,0.2,0.49,0.26,0.53,0.75,0.29
