,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,cortex-vfx.csv,wikipediardware.csv
cortex-vfx.csv,0.81,0.8,0.69,0.68,0.66,0.75,0.83,0.13,0.74
empserver.csv,0.7,0.92,0.66,0.72,0.08,0.66,0.5,0.66,0.5
enlightenment.csv,0.56,0.76,0.85,0.04,0.71,0.54,0.77,0.73,0.61
ildjit.csv,0.88,0.1,0.93,0.97,0.62,0.92,0.99,0.98,1.0
jfreereport.csv,0.87,0.64,0.12,0.68,0.74,0.9,0.65,0.74,0.84
lufa-lib.csv,0.72,0.88,0.61,0.7,0.86,0.7,0.04,0.65,0.73
pcsx2.csv,0.7,0.75,0.53,0.64,0.71,0.04,0.76,0.69,0.86
psycle.csv,0.05,0.86,0.8,0.57,0.69,0.61,0.84,0.56,0.55
wikipediardware.csv,0.49,0.62,0.92,0.71,0.94,0.7,0.78,0.99,0.14
