,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.0,17.0,17.0,0.0,0.0,13.0,0.0,6.0,14.0,13.0,3.0,0.0
crisscross.csv,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,74.0,0.0,0.0
gabel.csv,0.0,56.0,120.0,55.0,61.0,0.0,0.0,0.0,0.0,74.0,51.0,1.0
jguard.csv,0.0,15.0,16.0,3.0,0.0,1.0,0.0,0.0,14.0,6.0,2.0,0.0
jitterbit.csv,0.0,14.0,16.0,0.0,0.0,0.0,0.0,14.0,9.0,14.0,7.0,2.0
mycila.csv,0.0,56.0,13.0,55.0,2.0,0.0,0.0,0.0,99.0,12.0,0.0,0.0
nova.csv,0.0,0.0,15.0,0.0,0.0,2.0,0.0,2.0,19.0,7.0,9.0,0.0
ontomorphtab.csv,0.0,14.0,16.0,0.0,0.0,3.0,0.0,5.0,30.0,0.0,2.0,0.0
tmva.csv,0.0,17.0,17.0,1.0,1.0,12.0,0.0,2.0,11.0,13.0,5.0,0.0
vienna-add-in.csv,0.0,17.0,16.0,3.0,0.0,2.0,0.0,3.0,10.0,14.0,6.0,1.0
vrjuggler.csv,139.0,0.0,9.0,0.0,1.0,4.0,0.0,2.0,99.0,0.0,4.0,2.0
wpdev.csv,0.0,17.0,34.0,2.0,1.0,4.0,0.0,2.0,20.0,14.0,9.0,0.0
