,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,1.01,0.94,0.99,0.68,0.0,0.88,0.92,0.79,0.76,0.74,0.74,0.85
crisscross.csv,0.95,0.69,0.1,0.89,0.87,0.85,0.81,0.97,0.76,1.01,0.65,0.8
gabel.csv,0.99,1.0,1.0,1.0,1.0,0.94,0.99,0.97,0.0,1.0,1.0,0.99
jguard.csv,1.08,0.96,0.8,0.66,0.89,0.75,0.83,0.03,0.53,0.78,0.66,0.81
jitterbit.csv,0.66,0.78,0.71,0.78,0.72,0.06,0.66,0.91,0.48,0.8,0.85,0.67
mycila.csv,0.92,1.0,0.96,1.0,0.98,0.85,0.93,0.84,1.01,0.61,0.1,0.87
nova.csv,1.05,0.0,0.93,0.87,0.89,0.75,0.79,0.72,0.82,0.74,0.77,0.76
ontomorphtab.csv,0.41,0.58,0.69,0.06,0.69,0.78,0.83,0.67,0.68,0.68,0.7,0.82
tmva.csv,0.33,1.0,0.71,0.73,0.83,0.78,0.72,0.63,0.76,0.86,0.74,0.02
vienna-add-in.csv,1.0,1.0,0.72,0.74,0.69,0.68,0.04,0.71,0.8,0.99,0.96,0.74
vrjuggler.csv,1.0,0.73,0.96,0.74,0.98,0.54,0.73,0.85,1.0,0.06,0.85,0.97
wpdev.csv,0.0,1.0,0.95,0.91,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
