,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.45,0.48,0.5,0.42,0.41,0.45,0.46,0.4,0.53,0.49,0.39,0.48
crisscross.csv,0.89,0.8,0.89,0.75,0.86,0.88,0.87,0.67,0.92,0.83,0.67,0.97
gabel.csv,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.88,0.0,0.5,0.67
jguard.csv,0.48,0.45,0.54,0.5,0.47,0.48,0.43,0.66,0.53,0.88,0.43,0.5
jitterbit.csv,0.52,0.61,0.78,0.82,0.61,0.73,0.73,0.72,0.58,0.46,0.79,0.64
mycila.csv,0.91,0.0,0.93,0.0,0.67,0.99,0.88,0.91,0.91,0.9,0.89,0.96
nova.csv,0.46,0.69,0.48,0.46,0.33,0.46,0.45,0.54,0.54,0.5,0.43,0.54
ontomorphtab.csv,0.38,0.44,0.47,0.43,0.5,0.38,0.38,0.46,0.45,0.43,0.39,0.44
tmva.csv,0.42,0.42,0.49,0.46,0.62,0.45,0.5,0.47,0.47,0.49,0.5,0.52
vienna-add-in.csv,0.42,0.42,0.55,0.56,0.39,0.54,0.54,0.79,0.47,0.38,0.67,0.5
vrjuggler.csv,0.0,0.79,0.9,0.7,0.67,0.73,0.9,0.59,0.5,0.93,0.79,0.89
wpdev.csv,0.39,0.42,0.43,0.4,0.32,0.37,0.4,0.38,0.46,0.36,0.37,0.44
