,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.06,0.76,0.96,0.52
google-caja.csv,0.06,0.89,0.91,0.78
itext.csv,0.08,0.74,0.91,0.81
plee-the-bear.csv,0.19,0.77,0.85,0.52
