,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.42,0.33,0.54,0.48
google-caja.csv,0.38,0.33,0.35,0.34
itext.csv,0.38,0.33,0.33,0.34
plee-the-bear.csv,0.54,0.39,0.3,0.52
