,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,571.5,0.0,85.5,1018.5,86.5,462.5,99.0,456.0,99.0,97.5,88.5,918.0
dvt.csv,1333.5,99.0,86.5,96.5,283.5,555.0,99.0,184.0,198.0,99.0,468.0,1534.0
flylinkdc.csv,272.5,99.0,99.0,690.0,91.5,1782.0,698.0,369.0,98.5,99.0,482.0,1182.0
fulguro.csv,49.5,2226.5,99.0,1123.5,46.5,3821.0,1362.0,97.5,0.0,98.5,189.0,587.5
fw4spl.csv,763.5,99.0,97.5,558.5,263.0,1024.5,612.0,89.5,198.0,97.5,252.5,502.0
ipfire-wall.csv,563.5,99.0,98.5,389.0,97.0,668.0,415.5,97.5,122.0,99.0,462.0,906.5
jruby.csv,947.5,99.0,99.0,648.0,38.5,1821.0,92.5,0.0,197.5,98.5,459.5,0.0
ldview.csv,1424.0,198.0,95.5,1048.5,188.0,3444.5,368.5,97.5,98.5,97.5,482.0,688.0
nuttx.csv,361.0,82.5,99.0,277.5,188.0,1123.0,158.5,184.0,98.5,98.5,177.0,256.5
oorexx.csv,1134.5,198.0,79.5,465.5,188.0,1675.0,362.5,184.0,198.0,97.5,280.5,1267.5
uclmda.csv,856.0,466.0,86.5,155.0,86.5,466.5,99.0,545.5,99.0,2.5,0.0,429.5
vdsf.csv,943.5,198.0,99.0,1211.0,86.5,1996.5,99.0,97.5,99.0,99.0,482.0,428.5
