,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,kowari.csv,keyczar.csv
agilitybook.csv,0.08,0.79,0.06,1.01,0.66,0.74,0.64,0.74
apolloplayer.csv,0.72,0.12,1.01,1.0,0.79,0.9,0.87,0.66
k3d.csv,0.79,0.92,1.0,0.48,0.95,0.1,1.0,0.7
keyczar.csv,0.65,0.65,0.21,0.68,0.76,0.75,0.69,0.07
kowari.csv,0.77,0.83,1.0,1.0,0.83,0.92,0.0,0.92
redshell.csv,0.75,0.58,0.67,0.98,0.12,0.92,0.61,0.82
rtb-team.csv,0.63,0.56,0.28,0.13,0.9,0.64,0.59,0.6
