,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,jmonkeyengine.csv,mediate.csv,e-bio-flow.csv,tmva.csv,matrex.csv,freedom-erp.csv,jchassis.csv,emono.csv,thedata.csv
array4j.csv,0.49,0.32,0.59,0.6,0.83,0.68,0.59,0.57,0.95,0.66,0.96,1.0,0.65,0.17,0.88,0.73,0.61,0.48,0.92
dxengine.csv,0.34,0.54,0.2,0.8,0.48,0.35,0.46,0.5,0.15,0.02,0.02,0.8,0.44,0.07,0.65,0.0,0.58,0.29,0.66
e-bio-flow.csv,0.12,0.32,0.2,0.25,0.4,0.29,0.56,0.41,0.08,0.05,0.12,0.2,0.27,0.18,0.08,0.54,0.0,0.62,0.31
emono.csv,0.32,0.87,0.55,0.65,0.77,0.74,0.88,0.69,0.82,0.61,0.58,0.97,0.71,0.73,0.89,0.81,0.97,0.4,0.39
freedom-erp.csv,0.12,0.22,0.06,0.05,0.11,0.26,0.24,0.2,0.13,0.07,0.12,0.0,0.21,0.0,0.07,0.31,0.0,0.02,0.15
haggle.csv,0.29,0.44,0.55,0.25,0.23,0.28,0.22,0.24,0.39,0.39,0.3,0.13,0.38,0.17,0.24,0.01,0.24,0.17,0.84
jbpm.csv,0.15,0.17,0.02,0.0,0.05,0.02,0.13,0.04,0.05,0.0,0.04,0.0,0.15,0.0,0.09,0.09,0.0,0.0,0.08
jchassis.csv,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.0
jmoney.csv,0.2,0.44,0.41,0.15,0.51,0.49,0.44,0.31,0.31,0.15,0.26,0.7,0.71,0.35,0.03,0.14,0.17,0.69,0.29
jmonkeyengine.csv,0.49,0.56,0.71,0.45,0.33,0.18,0.27,0.57,0.45,0.71,0.24,0.1,0.44,0.93,0.09,0.06,0.62,0.88,0.4
jsidplay2.csv,0.22,0.02,0.35,0.2,0.24,0.41,0.24,0.11,0.19,0.39,0.62,0.5,0.1,0.28,0.16,0.83,0.15,0.14,0.79
log4net.csv,0.15,0.48,0.14,0.05,0.07,0.28,0.21,0.11,0.13,0.1,0.08,0.47,0.44,0.17,0.15,0.3,0.0,0.17,0.48
matrex.csv,0.22,0.16,0.0,0.15,0.19,0.2,0.22,0.11,0.0,0.0,0.14,0.4,0.33,0.0,0.15,0.19,0.02,0.07,0.0
mediate.csv,0.27,0.92,0.24,0.2,0.29,0.33,0.41,0.47,0.29,0.22,0.18,0.4,0.71,0.23,0.53,0.24,0.73,0.14,0.05
piccolo2d.csv,0.2,0.59,0.06,0.05,0.2,0.26,0.39,0.15,0.1,0.1,0.08,0.3,0.31,0.05,0.31,0.4,0.0,0.07,0.24
pustefix.csv,0.61,0.32,0.49,0.45,0.43,0.65,0.43,0.53,0.24,0.46,0.76,0.23,0.62,0.63,0.48,0.67,0.74,0.48,0.56
sblim.csv,0.22,0.06,0.0,0.05,0.2,0.12,0.03,0.09,0.06,0.1,0.06,0.0,0.12,0.45,0.04,0.14,0.08,0.43,0.34
thedata.csv,0.68,0.73,0.51,0.55,0.65,0.7,0.69,0.84,0.58,0.22,0.34,0.77,0.71,0.38,0.71,0.84,0.38,0.48,0.05
tmva.csv,0.9,0.92,0.59,1.0,0.83,1.0,0.97,0.79,0.85,0.71,1.0,1.0,0.94,0.33,1.0,1.0,0.74,0.29,1.0
