,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.25,0.32,0.51,0.26,0.4,0.33,0.93,0.33,0.08,0.19,0.33,0.57
gamestone.csv,0.26,1.0,0.3,0.13,0.26,0.25,0.32,0.1,0.03,0.18,0.32,0.48
gbif-providertoolkit.csv,0.1,0.0,0.0,0.06,1.0,0.25,0.09,0.18,0.09,0.09,0.0,0.08
heekscad.csv,0.99,0.24,0.62,0.48,0.28,0.67,0.45,0.3,0.12,0.48,0.38,0.75
igarden.csv,0.24,0.15,0.26,0.95,0.26,0.46,0.13,0.31,0.08,0.13,0.29,0.12
levent.csv,0.61,0.44,0.55,0.49,0.36,0.99,0.5,0.32,0.15,0.41,0.33,0.54
lportal.csv,0.47,0.15,0.35,0.26,0.12,0.46,0.35,0.25,0.93,0.47,0.24,0.57
openmsx.csv,0.69,0.18,0.45,0.45,0.22,0.43,0.33,0.18,0.09,0.98,0.35,0.49
owlapi.csv,0.17,0.0,0.19,0.25,0.31,0.25,0.0,0.92,0.11,0.06,0.37,0.0
pnotepad.csv,0.78,0.25,0.64,0.46,0.27,0.72,0.57,0.25,0.09,0.57,0.37,0.98
quark.csv,0.27,0.0,0.22,0.11,0.0,0.0,0.0,0.0,0.02,0.0,1.0,0.0
xcsoar.csv,0.69,0.31,0.97,0.44,0.41,0.61,0.39,0.4,0.12,0.39,0.33,0.32
