,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,nunit.csv,mule.csv
calcubetimer.csv,0.39,0.09,0.5,,0.35,0.64
chaperon.csv,0.15,0.29,,0.27,0.49,0.25
mule.csv,0.07,0.29,0.54,0.63,0.63,
nunit.csv,0.28,0.33,0.95,0.05,,0.21
springside.csv,,0.18,0.5,0.19,0.45,0.63
swtfox.csv,0.5,,0.29,0.05,0.39,0.21
