,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,0.48,0.54,0.47,0.95,0.42,0.43,0.62,0.59,0.65,0.37,0.46,0.41,0.54,0.46,0.44,0.59,0.46,0.42,0.59
boost.csv,0.44,0.56,0.52,0.59,0.4,0.56,0.45,0.72,0.47,0.41,0.49,0.49,0.59,0.52,0.51,0.33,0.43,0.47,0.5
codepurge.csv,0.86,0.64,0.9,0.72,0.86,0.8,0.8,0.92,0.78,0.93,0.67,0.89,0.96,0.94,0.89,0.88,0.83,0.67,0.76
elateportal.csv,0.53,0.44,0.64,0.42,0.75,0.48,0.56,0.46,0.61,0.83,0.43,0.44,0.47,0.57,0.52,0.3,0.37,0.86,0.41
etics.csv,0.67,0.74,0.72,0.48,0.72,0.88,0.96,0.69,0.92,0.91,0.46,0.76,0.97,0.85,0.95,0.5,0.0,0.71,0.81
factor.csv,0.75,0.88,0.0,0.8,0.0,0.0,0.5,0.88,0.0,0.75,0.5,0.92,0.0,0.0,0.0,0.0,0.0,0.52,0.92
gusanos.csv,0.52,0.42,0.41,0.38,0.34,0.44,0.42,0.48,0.42,0.4,0.39,0.34,0.43,0.46,0.4,0.47,0.58,0.45,0.41
kvs.csv,0.64,0.72,0.94,0.71,0.83,0.8,0.6,0.71,0.76,0.57,0.55,0.71,0.95,0.83,0.92,0.67,0.83,0.81,0.63
lcfizvtop.csv,0.51,0.86,0.91,0.84,0.62,0.8,0.64,0.67,0.56,0.92,0.93,0.6,0.94,0.82,0.89,0.69,0.93,0.49,0.99
mcore3d.csv,0.69,0.49,0.45,0.39,0.49,0.5,0.41,0.56,0.41,0.42,0.5,0.4,0.5,0.47,0.61,0.75,0.43,0.47,0.5
modellus.csv,0.83,0.97,0.6,0.6,0.76,0.83,0.48,0.91,0.53,0.96,0.86,0.52,0.64,0.96,0.78,0.8,0.57,0.92,0.73
modplug.csv,0.4,0.46,0.42,0.39,0.38,0.46,0.4,0.39,0.39,0.39,0.43,0.41,0.5,0.5,0.42,0.38,0.39,0.54,0.41
passwordsafe.csv,0.45,0.62,0.5,0.51,0.53,0.52,0.46,0.55,0.51,0.47,0.53,0.49,0.57,0.62,0.5,0.67,0.58,0.53,0.54
pixel-commandos.csv,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.67,0.85,0.83,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.9
projecteqemu.csv,0.54,0.66,0.87,0.67,0.8,0.8,0.96,0.79,0.92,0.58,0.6,0.85,0.95,0.67,0.67,0.0,0.8,0.88,0.95
pydev.csv,0.8,0.52,0.77,0.51,0.51,0.57,0.61,0.86,0.54,0.39,0.5,0.61,0.93,0.55,0.5,0.75,0.75,0.88,0.61
sandiaportals.csv,0.48,0.59,0.42,0.4,0.58,0.56,0.39,0.43,0.4,0.48,0.55,0.39,0.44,0.51,0.48,0.3,0.43,0.47,0.41
uwom.csv,0.47,0.64,0.61,0.96,0.59,0.8,0.52,0.89,0.94,0.49,0.59,0.57,0.9,0.54,0.56,0.56,0.44,0.53,0.8
xbplayer.csv,0.75,0.79,0.96,0.64,0.94,0.86,0.81,0.61,0.65,0.7,0.65,0.57,0.87,0.75,0.76,0.75,0.54,0.7,0.58
