,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,7.0,5.0,0.0,4.0,1.0,3.0,1.0
bl-toolkit.csv,3.0,0.0,0.0,6.0,0.0,1.0,14.0,1.0,69.0,9.0,3.0,0.0,1.0,76.0,7.0
bochs.csv,2.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,64.0,8.0,5.0,1.0,4.0,80.0,4.0
emeraldemu.csv,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,29.0,0.0,3.0,1.0,0.0,80.0,1.0
fbmanager.csv,1.0,268.0,171.0,452.0,208.0,1.0,0.0,107.0,938.0,77.0,10.0,171.0,158.0,9.0,9.0
modellus.csv,1.0,0.0,0.0,30.0,0.0,0.0,1.0,2.0,7.0,4.0,3.0,0.0,0.0,62.0,1.0
openmalaria.csv,1.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,11.0,0.0,3.0,4.0,71.0,0.0
pi-qmc.csv,0.0,0.0,0.0,6.0,2.0,0.0,6.0,0.0,26.0,7.0,9.0,3.0,5.0,66.0,3.0
plplot.csv,2.0,2.0,4.0,0.0,4.0,0.0,12.0,0.0,7.0,1.0,6.0,2.0,3.0,43.0,11.0
powerfolder.csv,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0
psycle.csv,3.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,20.0,5.0,3.0,3.0,2.0,75.0,1.0
qgis.csv,1.0,0.0,0.0,4.0,0.0,0.0,100.0,1.0,27.0,6.0,2.0,2.0,0.0,70.0,1.0
sbml.csv,2.0,2.0,8.0,4.0,0.0,1.0,4.0,0.0,42.0,3.0,6.0,13.0,0.0,91.0,1.0
unimrcp.csv,0.0,0.0,3.0,14.0,0.0,0.0,1.0,0.0,5.0,1.0,4.0,3.0,3.0,76.0,1.0
wow-qrsk.csv,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,18.0,0.0,2.0,1.0,2.0,10.0,77.0
