,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,ogre.csv,autat.csv,mimosa.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,google-web-toolkit.csv,qdvdauthor.csv
auber.csv,98.5,198.0,193.0,1138.5,568.0,94.5,1100.5,97.5,196.5,1325.0,99.0,99.0,97.5,188.0,1445.0,1878.0,99.0,99.0,97.5
autat.csv,98.5,308.0,184.0,254.5,259.0,160.0,45.5,97.5,212.5,163.5,1297.5,89.5,97.5,2.5,479.0,129.0,86.5,99.0,97.5
brlcad.csv,98.5,594.0,189.0,265.5,114.0,180.0,45.5,97.5,159.0,611.5,62.5,72.5,97.5,101.0,1708.0,152.0,85.5,99.0,97.5
delphilhlplib.csv,98.5,198.0,193.0,188.0,572.0,545.0,373.5,97.5,85.5,1149.5,99.0,98.5,97.5,92.5,1730.0,77.5,99.0,99.0,97.5
exordium.csv,98.5,99.0,192.0,379.0,90.5,192.0,768.0,97.5,283.0,1157.5,1222.0,96.5,97.5,288.5,95.5,77.5,293.5,99.0,97.5
fltk.csv,98.5,198.0,189.0,188.0,185.0,540.0,518.5,97.5,93.5,1156.0,99.0,89.5,97.5,92.5,807.0,268.0,99.0,99.0,97.5
google-web-toolkit.csv,98.5,98.5,193.0,948.5,257.5,460.5,289.0,97.5,93.5,1352.5,99.0,99.0,97.5,92.5,1490.5,942.5,99.0,99.0,97.5
gzigzag.csv,98.5,99.0,189.0,758.5,88.5,372.0,446.0,97.5,198.0,687.0,98.5,96.5,97.5,191.0,1707.5,323.0,99.0,99.0,97.5
irrlicht.csv,98.5,0.0,193.0,1137.5,951.5,386.0,1757.0,97.5,0.0,1677.0,99.0,99.0,97.5,1061.5,5204.5,1956.5,99.0,87.5,97.5
mimosa.csv,98.5,594.0,193.0,283.5,855.0,1019.5,1301.0,97.5,197.5,1578.0,99.0,83.5,97.5,1061.5,974.0,1502.0,99.0,99.0,97.5
mptvseries.csv,98.5,198.0,0.0,274.5,344.0,179.0,673.5,97.5,281.0,60.5,99.0,96.5,97.5,92.5,458.0,77.5,99.0,379.0,97.5
ogre.csv,132.0,198.0,188.0,859.0,855.0,386.0,1498.5,96.5,99.0,1296.5,99.0,99.0,286.5,1061.5,1169.5,1874.0,99.0,99.0,97.5
openfrag.csv,98.5,198.0,193.0,760.5,566.0,363.0,537.5,97.5,198.0,1241.5,99.0,98.5,97.5,191.0,2643.5,77.5,99.0,99.0,97.5
qdvdauthor.csv,98.5,594.0,94.5,1041.0,665.0,730.0,718.0,97.5,197.5,1192.0,99.0,99.0,97.5,480.5,681.5,1249.5,99.0,292.5,281.5
qse.csv,95.5,97.5,193.0,666.0,90.5,94.5,498.5,97.5,156.0,691.0,99.0,99.0,97.5,142.0,1464.5,350.0,386.0,99.0,97.5
sauerbraten.csv,98.5,495.0,94.5,1233.0,852.5,823.5,1596.0,97.5,198.0,1288.5,99.0,99.0,97.5,963.0,1169.5,1878.0,99.0,99.0,97.5
toped.csv,98.5,396.0,193.0,943.5,660.5,826.5,1241.0,97.5,196.5,1144.0,99.0,96.5,97.5,769.0,679.5,832.0,99.0,99.0,97.5
truevision.csv,98.5,0.0,189.0,742.0,381.5,192.0,1023.5,97.5,88.5,1497.5,829.5,99.0,0.0,92.5,95.5,1388.0,99.0,99.0,97.5
zoolib.csv,98.5,198.0,192.0,187.0,383.5,635.5,214.5,97.5,84.5,959.5,99.0,96.5,97.5,92.5,948.5,73.5,99.0,99.0,97.5
