,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,ogre.csv,autat.csv,mimosa.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,google-web-toolkit.csv,qdvdauthor.csv
auber.csv,0.68,0.19,0.69,0.58,0.31,0.31,0.4,0.93,0.98,0.2,0.48,0.75,0.48,0.51,0.1,0.62,0.8,0.63,0.71
autat.csv,0.66,0.25,0.85,0.64,0.46,0.34,0.67,0.93,0.88,0.35,0.29,0.83,0.82,0.67,0.2,0.86,0.76,0.67,0.86
brlcad.csv,0.62,0.37,0.91,0.7,0.5,0.28,1.0,0.81,0.9,0.26,0.0,0.86,0.57,0.57,0.16,0.76,0.45,0.59,0.38
delphilhlplib.csv,0.63,0.44,0.88,0.79,0.35,0.29,0.73,0.93,0.94,0.26,0.81,0.83,1.0,0.57,0.2,0.83,0.66,0.59,0.71
exordium.csv,0.7,0.47,0.76,0.8,0.58,0.35,0.44,0.89,1.0,0.32,0.7,0.87,1.0,0.69,0.19,0.86,0.71,0.62,0.71
fltk.csv,0.69,0.24,0.81,0.76,0.38,0.24,0.48,0.94,0.95,0.19,0.48,0.8,0.52,0.59,0.27,0.71,0.75,0.62,0.76
google-web-toolkit.csv,0.68,0.2,0.72,0.65,0.42,0.3,0.63,0.96,0.91,0.23,0.47,0.84,0.85,0.54,0.09,0.79,0.8,0.72,0.83
gzigzag.csv,0.81,0.36,0.89,0.81,0.83,0.33,0.5,0.89,0.8,0.21,0.73,0.87,1.0,0.77,0.15,1.0,0.78,0.52,0.89
irrlicht.csv,0.62,0.0,0.75,0.58,0.25,0.24,0.38,0.85,0.0,0.19,0.48,0.81,0.43,0.35,0.09,0.55,0.55,0.5,0.68
mimosa.csv,0.6,0.29,0.78,0.73,0.24,0.25,0.33,0.84,0.98,0.2,0.78,0.8,0.44,0.34,0.09,0.49,0.56,0.57,0.64
mptvseries.csv,0.76,0.3,1.0,0.79,0.43,0.43,0.67,0.96,0.9,0.18,0.5,0.82,0.8,0.64,0.26,0.88,0.74,0.64,0.86
ogre.csv,0.5,0.25,0.72,0.61,0.16,0.24,0.24,0.78,1.0,0.15,0.71,0.73,0.38,0.34,0.09,0.46,0.55,0.57,0.67
openfrag.csv,0.66,0.25,0.76,0.64,0.36,0.26,0.68,0.92,0.88,0.18,0.54,0.83,0.95,0.64,0.16,0.8,0.73,0.64,0.72
qdvdauthor.csv,0.8,0.24,0.45,0.54,0.28,0.26,0.48,0.87,0.96,0.11,0.52,0.77,0.43,0.51,0.04,0.58,0.73,0.59,0.81
qse.csv,0.66,0.31,0.74,0.61,0.36,0.26,0.58,0.89,1.0,0.32,0.43,0.78,0.79,0.48,0.12,0.64,0.56,0.56,0.71
sauerbraten.csv,0.83,0.25,0.7,0.57,0.27,0.28,0.39,0.86,0.98,0.12,0.55,0.77,0.43,0.36,0.08,0.55,0.64,0.59,0.7
toped.csv,0.67,0.19,0.73,0.57,0.28,0.22,0.42,1.0,0.97,0.21,0.45,0.76,0.46,0.31,0.1,0.6,0.68,0.6,0.74
truevision.csv,0.7,0.24,0.73,0.65,0.31,0.24,0.48,0.92,0.96,0.22,0.48,0.81,0.78,0.6,0.18,0.77,0.68,0.62,0.74
zoolib.csv,0.71,0.59,0.76,0.81,0.37,0.25,0.91,0.91,0.95,0.25,0.76,0.83,0.71,0.52,0.2,0.85,0.67,0.64,0.62
