,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.59,0.77,0.55,0.94,0.58,0.85,0.52,0.93,0.98,0.69,0.63,1.0,0.35
avisynth2.csv,0.94,0.99,1.0,0.51,0.91,0.95,0.87,1.0,0.03,0.97,1.0,1.0,0.95
beast-mcmc.csv,0.35,0.81,0.69,0.77,0.7,0.79,0.59,0.45,0.68,0.66,0.67,0.7,0.7
dataobjectsdotnet.csv,0.6,0.91,0.83,1.03,0.82,0.71,0.65,0.65,0.63,0.54,0.62,0.81,0.82
exist.csv,0.7,0.89,0.77,1.03,0.81,0.36,0.92,0.96,0.98,0.91,0.95,1.0,0.68
foursquared.csv,0.88,0.95,0.8,1.0,0.96,0.86,0.79,0.21,0.39,0.95,0.91,0.8,0.96
jaxlib.csv,0.73,0.81,0.68,0.06,0.8,0.86,0.77,0.5,0.69,0.76,0.78,0.76,0.99
jrefactory.csv,0.87,0.47,0.74,0.71,0.95,0.88,0.98,0.87,1.01,0.83,0.7,0.7,0.96
nodal.csv,0.66,0.77,0.75,0.71,0.42,0.57,0.51,0.72,1.02,0.79,0.98,0.78,0.5
opendvr.csv,0.44,0.8,0.66,0.98,0.64,0.49,0.34,0.63,0.81,0.67,0.66,0.43,0.8
pokenetonline.csv,0.9,0.99,0.76,0.98,0.75,1.0,0.34,0.87,0.97,0.85,0.87,0.74,0.28
simplewebservices.csv,0.79,0.8,0.96,1.0,0.79,0.98,0.58,0.66,0.97,0.74,0.5,1.0,0.3
uface.csv,0.55,0.68,0.69,1.1,0.63,0.77,0.47,0.83,1.0,0.65,0.82,0.99,0.09
