,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv
benojt.csv,0.81,1.0,1.0,0.01,0.97,0.96
jahshaka.csv,0.53,0.27,0.86,0.65,0.59,0.76
jam-daq.csv,0.57,0.91,0.81,0.61,0.61,0.42
jatlas.csv,0.78,0.67,0.88,0.53,0.13,0.65
jedit.csv,0.31,0.71,0.64,1.0,0.94,0.98
open-media-library.csv,0.73,0.57,0.43,1.03,0.4,0.64
