,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.81,0.47,0.45,0.71,0.57,0.1,1.0,0.34,0.1,0.92,0.17,0.18,0.78
fido.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fleet-simulator.csv,0.79,0.4,0.5,0.7,0.61,0.08,0.81,0.34,0.1,1.0,0.21,0.24,0.85
fluent-nhibernate.csv,0.19,0.24,0.22,0.1,0.39,0.0,0.24,0.25,0.0,0.26,0.0,0.94,0.26
galaxium.csv,0.64,0.32,0.94,0.63,0.67,0.07,0.36,0.35,0.12,0.5,0.25,0.43,0.46
itext.csv,0.7,0.37,0.61,0.99,0.63,0.0,0.42,0.38,0.17,0.65,0.27,0.29,0.69
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mediaportal.csv,0.77,0.37,0.42,0.48,0.49,0.0,0.63,0.95,0.09,0.83,0.2,0.2,0.46
ninject.csv,0.56,0.22,0.44,0.4,0.63,0.0,0.34,0.41,0.18,0.04,0.89,0.53,0.08
smartgwt.csv,0.66,0.28,0.39,0.54,0.97,0.12,0.55,0.31,0.1,0.17,0.1,0.25,0.37
sqlpower-library.csv,0.98,0.44,0.41,0.71,0.3,0.05,0.77,0.33,0.09,0.66,0.35,0.2,0.41
stuproa-cims.csv,0.82,1.0,0.46,0.71,0.38,0.08,0.7,0.32,0.1,0.84,0.14,0.21,0.78
uface.csv,0.64,0.4,0.47,0.41,0.34,0.08,0.7,0.28,0.04,0.89,0.17,0.21,1.0
