,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,exl.csv
avifile.csv,0.97,0.75,0.96,0.95,0.92,0.97,0.67,0.98,0.96,0.91,0.0,0.0,0.75,0.91,0.0,0.94,0.93,0.99,0.92,0.93
baadengine.csv,0.44,0.42,0.33,0.44,0.4,0.43,0.54,0.36,0.35,0.43,0.44,0.29,0.38,0.36,0.41,0.35,0.39,0.4,0.43,0.43
bibedt.csv,0.59,0.88,0.66,0.68,0.45,0.63,0.75,0.7,0.65,0.83,0.58,0.77,0.9,0.48,0.83,0.65,0.76,0.57,0.9,0.37
cascading.csv,0.96,0.38,0.38,0.64,0.42,0.56,0.73,0.46,0.47,0.49,0.69,0.71,0.36,0.44,0.82,0.36,0.44,0.68,0.8,0.39
dataobjectsdotnet.csv,0.98,0.6,0.85,0.83,0.93,0.83,0.77,0.82,0.96,0.54,0.96,0.65,0.67,0.53,0.86,0.64,0.8,0.65,0.93,0.5
exl.csv,0.56,0.5,0.77,0.56,0.42,0.6,0.55,0.43,0.46,0.79,0.62,0.53,0.53,0.34,0.74,0.52,0.61,0.56,0.82,0.44
gogoego.csv,0.83,0.67,0.95,0.86,0.76,0.68,0.49,0.82,0.89,0.58,0.94,0.86,0.82,0.8,0.95,0.79,0.76,0.6,0.75,0.9
httpcontentparser.csv,0.98,0.0,0.67,0.8,0.94,0.89,0.86,0.98,0.96,0.0,0.95,0.67,0.75,0.74,0.92,0.91,0.95,0.8,0.77,0.86
impala.csv,0.69,0.47,0.98,0.56,0.71,0.69,0.95,0.85,0.73,0.67,0.66,0.5,0.6,0.66,0.91,0.96,0.75,0.64,0.59,0.94
jaxlib.csv,0.98,0.8,0.8,0.89,0.9,0.86,0.86,0.97,0.9,0.83,0.73,0.5,0.0,0.73,0.0,0.86,0.89,0.94,0.89,0.38
jgameai.csv,0.99,0.92,0.81,0.82,0.75,0.84,0.8,0.77,0.76,0.67,0.98,0.76,0.88,0.86,0.97,0.98,0.89,0.73,0.48,0.53
jhotdraw.csv,0.76,0.86,0.86,0.92,0.68,0.92,0.75,0.98,0.98,0.9,0.97,0.75,0.7,0.89,0.97,0.91,0.86,0.68,0.62,0.92
loki-lib.csv,0.72,0.67,0.41,0.45,0.38,0.49,0.54,0.44,0.42,0.33,0.59,0.33,0.49,0.52,0.45,0.38,0.41,0.5,0.61,0.0
patterntesting.csv,0.44,0.53,0.67,0.45,0.4,0.5,0.46,0.42,0.47,0.59,0.45,0.57,0.62,0.38,0.46,0.41,0.45,0.49,0.65,0.4
pokeglobal.csv,0.58,0.51,0.42,0.7,0.49,0.51,0.85,0.41,0.41,0.79,0.68,0.29,0.47,0.49,0.61,0.4,0.46,0.53,0.52,0.93
snakeyaml.csv,0.98,0.77,0.74,0.54,0.66,0.63,0.67,0.67,0.51,0.75,0.85,0.33,0.86,0.56,0.96,0.77,0.73,0.56,0.48,0.51
unflobtactical.csv,0.58,0.76,0.93,0.72,0.59,0.69,0.5,0.68,0.84,0.64,0.55,0.57,0.53,0.49,0.82,0.79,0.68,0.59,0.67,0.57
werx.csv,0.41,0.36,0.36,0.42,0.4,0.48,0.54,0.36,0.36,0.45,0.45,0.3,0.39,0.38,0.41,0.33,0.39,0.42,0.44,0.46
zealos.csv,0.5,0.67,0.81,0.62,0.66,0.76,0.63,0.66,0.64,0.71,0.67,0.69,0.8,0.55,0.88,0.82,0.69,0.73,0.65,0.53
