,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.57,0.9,0.57,0.91,0.68,0.67,0.54,0.56,0.54,0.77,0.79,0.67
gamestone.csv,0.94,0.38,0.9,0.87,0.9,1.02,0.87,0.74,0.93,0.88,1.0,0.92
gbif-providertoolkit.csv,0.83,1.01,0.82,0.97,0.5,0.57,0.78,0.59,0.6,0.89,0.93,0.67
heekscad.csv,0.35,0.37,0.43,0.66,0.63,0.69,0.79,0.55,0.52,0.63,0.67,0.62
igarden.csv,0.51,0.92,0.88,0.72,0.87,0.76,0.83,0.96,0.73,0.79,0.58,0.68
levent.csv,0.92,1.04,0.78,0.75,0.73,0.49,0.79,0.69,0.44,0.71,0.51,0.92
lportal.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openmsx.csv,0.77,0.86,0.81,0.64,0.57,0.53,0.72,0.74,1.0,0.75,1.0,0.71
owlapi.csv,0.75,1.01,0.75,1.0,0.65,0.73,0.65,0.6,0.68,0.79,0.57,0.87
pnotepad.csv,0.4,0.68,0.78,0.97,0.94,0.68,0.67,0.9,0.99,0.92,1.0,0.5
quark.csv,0.7,0.75,0.73,0.97,0.79,1.0,0.97,0.88,0.86,0.97,0.54,0.9
xcsoar.csv,0.42,0.76,0.42,0.57,0.52,0.66,0.64,0.61,0.58,0.74,1.0,0.75
