,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.29,0.33,0.99,0.24,0.61,0.2,0.34,0.47,0.2,0.4,0.26,0.44
jaolt.csv,0.3,0.67,0.44,0.23,0.89,0.15,0.99,0.54,0.21,0.47,0.32,0.66
jcl.csv,0.12,0.0,0.06,0.27,0.14,0.3,0.05,0.06,0.92,0.34,0.23,0.44
kmess.csv,0.27,0.46,0.32,0.26,0.69,0.08,0.56,0.55,0.27,0.4,0.42,0.99
ossbuild.csv,0.12,0.3,0.39,0.12,0.55,0.98,0.05,0.15,0.26,0.44,0.32,0.38
qgo.csv,0.25,1.0,0.21,0.25,0.79,0.11,0.56,0.54,0.22,0.32,0.3,0.5
quark.csv,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0
rezilla.csv,0.24,0.66,0.4,1.0,0.76,0.24,0.57,0.52,0.2,0.52,0.29,0.7
rhex.csv,0.96,0.11,0.19,0.0,0.15,0.05,0.47,0.16,0.16,0.0,0.18,0.04
toped.csv,0.18,0.28,0.22,0.44,1.0,0.23,0.38,0.46,0.24,0.47,0.32,0.66
truevision.csv,0.21,0.68,0.49,0.1,0.67,0.12,0.71,0.99,0.25,0.16,0.36,0.47
wxstudio.csv,0.11,0.54,0.17,0.0,0.34,0.0,0.39,0.37,0.18,0.96,0.37,0.39
