,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.5,0.23,0.98,0.16,0.45,0.41,0.22,0.45,0.5,0.3,0.38,0.32
jaolt.csv,0.67,0.7,0.5,0.16,0.86,0.44,0.97,0.79,0.71,0.43,0.46,0.67
jcl.csv,0.17,0.0,0.04,0.32,0.08,0.25,0.03,0.05,0.86,0.27,0.23,0.35
kmess.csv,0.58,0.37,0.23,0.26,0.59,0.09,0.45,0.74,0.5,0.41,0.54,0.98
ossbuild.csv,0.17,0.23,0.29,0.11,0.41,0.97,0.03,0.11,0.21,0.49,0.31,0.27
qgo.csv,0.42,1.0,0.15,0.16,0.73,0.22,0.45,0.82,0.64,0.27,0.62,0.35
quark.csv,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0
rezilla.csv,0.67,1.0,0.56,1.0,0.65,0.69,0.51,0.76,0.79,0.62,0.54,0.75
rhex.csv,0.92,0.07,0.12,0.0,0.08,0.03,0.33,0.11,0.29,0.0,0.23,0.02
toped.csv,0.5,0.2,0.15,0.74,1.0,1.0,0.25,0.53,0.43,0.49,0.31,0.7
truevision.csv,0.25,0.83,0.71,0.05,0.55,0.19,0.66,0.97,0.93,0.11,1.0,0.32
wxstudio.csv,0.17,0.47,0.13,0.0,0.22,0.0,0.27,0.37,0.21,0.95,0.46,0.29
