,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.53,0.27,0.98,0.19,0.49,0.44,0.26,0.49,0.5,0.34,0.41,0.36
jaolt.csv,0.65,0.69,0.51,0.19,0.78,0.41,0.98,0.66,0.56,0.47,0.49,0.6
jcl.csv,0.2,0.0,0.05,0.35,0.1,0.29,0.04,0.06,0.88,0.31,0.27,0.38
kmess.csv,0.58,0.41,0.27,0.3,0.51,0.11,0.48,0.67,0.53,0.43,0.57,0.98
ossbuild.csv,0.2,0.27,0.34,0.13,0.42,0.98,0.04,0.13,0.25,0.49,0.36,0.31
qgo.csv,0.46,1.0,0.18,0.19,0.59,0.25,0.48,0.65,0.59,0.31,0.55,0.4
quark.csv,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
rezilla.csv,0.6,0.38,0.48,1.0,0.65,0.61,0.45,0.63,0.43,0.56,0.52,0.58
rhex.csv,0.93,0.09,0.15,0.0,0.1,0.04,0.37,0.13,0.33,0.0,0.26,0.02
toped.csv,0.48,0.24,0.18,0.5,1.0,0.13,0.29,0.54,0.47,0.5,0.36,0.56
truevision.csv,0.29,0.73,0.56,0.06,0.55,0.22,0.61,0.98,0.58,0.13,0.36,0.37
wxstudio.csv,0.2,0.51,0.16,0.0,0.26,0.0,0.31,0.41,0.25,0.96,0.5,0.33
