,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.66,0.64,0.96,0.57,0.91,0.65,0.29,0.3,0.58,0.66,0.31,0.54,0.46,0.52,0.38,0.41
arsenal-1.csv,0.59,0.3,0.56,1.0,0.0,0.61,0.67,0.3,0.3,0.69,0.09,0.51,0.0,0.24,0.2,0.42
bnetd.csv,0.34,0.49,0.66,0.7,0.57,0.47,0.98,0.41,0.55,0.71,0.62,0.56,0.67,0.63,0.42,0.71
cascading.csv,0.5,0.74,0.4,0.13,0.0,0.64,0.3,0.41,0.99,0.36,0.14,0.25,0.38,0.39,0.46,0.53
fm-classic.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.04
free-evolution.csv,0.1,0.37,0.41,0.55,0.64,0.0,0.45,0.39,0.11,0.27,0.55,1.0,0.77,0.34,0.18,0.12
gnome-jabber.csv,0.21,0.55,0.0,0.24,0.43,0.17,0.46,0.68,0.32,0.0,0.88,0.64,0.2,0.17,0.0,0.58
guineu.csv,0.97,0.41,0.05,0.18,0.33,0.68,0.18,0.14,0.12,0.36,0.5,0.28,0.0,0.12,0.2,0.12
ipfilter.csv,0.43,0.43,0.5,0.13,0.27,0.43,0.43,0.44,0.46,0.25,0.0,0.43,0.99,0.13,0.21,0.17
jruby.csv,0.56,0.64,0.41,0.61,0.41,0.0,0.35,0.47,0.44,0.5,0.24,0.63,0.41,0.42,0.99,0.27
l2j.csv,0.71,0.59,0.69,0.57,0.75,0.34,0.57,0.5,0.56,0.7,0.42,0.5,0.45,0.99,0.54,0.61
libmesh.csv,0.41,0.23,0.29,0.53,0.0,0.37,0.3,0.95,0.24,0.18,0.0,0.0,0.16,0.39,0.32,0.47
mvdsv.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
stajistics.csv,0.33,0.27,0.1,0.37,0.37,0.65,0.16,0.34,0.44,0.39,0.5,0.21,0.17,0.27,0.32,1.0
twostep.csv,0.45,0.44,0.25,0.3,0.73,0.0,0.1,0.22,0.28,0.93,0.41,0.31,0.05,0.28,0.31,0.31
x4x.csv,0.64,0.98,0.61,0.54,0.09,0.81,0.51,0.5,0.53,0.35,0.0,0.64,0.0,0.65,0.43,0.64
