,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,13.0,7.0,32.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0
cubefs.csv,4.0,2.0,3.0,2.0,0.0,6.0,2.0,0.0,0.0,1.0,5.0,2.0,2.0,69.0
gisgraphy.csv,24.0,1.0,68.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,9.0,4.0,1.0,0.0
iaml.csv,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0
ivatamasks.csv,9.0,3.0,13.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kolmafia.csv,0.0,4.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0
ogrehg.csv,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0
olex2.csv,2.0,18.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
openwbem.csv,13.0,0.0,66.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,3.0,2.0
oppna-program-hsatools.csv,2.0,0.0,14.0,2.0,0.0,9.0,0.0,0.0,1.0,1.0,5.0,2.0,2.0,1.0
orc.csv,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,159.0,1.0,4.0,130.0,0.0,1.0
ta3d.csv,1.0,21.0,17.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0
umber.csv,0.0,1.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0
xcmetadataservicestoolkit.csv,2.0,3.0,57.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0
