,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.35,0.86,0.49,0.15,0.17,0.79,0.48,0.03,0.0,0.6,0.41,0.55,0.88,0.52
cubefs.csv,0.13,0.37,0.4,0.98,0.43,0.4,0.59,0.06,0.42,0.87,0.41,0.96,0.69,0.33
gisgraphy.csv,0.55,0.05,0.61,0.02,0.96,0.42,0.44,0.79,0.97,0.67,0.56,0.69,0.12,0.0
iaml.csv,0.55,0.56,0.73,0.36,0.57,0.37,0.02,0.24,0.64,0.6,0.56,0.61,0.44,0.67
ivatamasks.csv,0.35,0.54,0.49,0.0,0.48,0.47,0.43,0.21,0.64,0.47,0.46,0.68,0.5,0.81
kolmafia.csv,0.07,0.24,0.32,0.21,0.04,0.27,0.41,0.03,0.11,0.2,0.0,0.2,0.19,0.54
ogrehg.csv,0.33,0.27,0.22,0.26,0.09,0.01,0.21,0.09,0.42,0.6,0.15,0.32,0.5,0.23
olex2.csv,0.36,0.27,0.26,0.66,0.17,0.29,0.32,0.41,0.33,0.4,0.41,0.0,0.38,0.35
openwbem.csv,0.73,0.01,0.7,0.66,1.0,0.77,0.54,0.85,0.97,0.47,0.54,0.73,0.88,0.62
oppna-program-hsatools.csv,0.8,0.97,0.93,1.0,0.0,0.89,0.93,0.68,0.92,0.8,1.0,0.86,0.94,0.96
orc.csv,0.42,0.02,0.0,0.0,0.26,0.07,0.19,0.65,0.0,0.27,0.54,0.0,0.0,0.33
ta3d.csv,0.89,0.87,0.97,1.0,0.74,0.73,0.88,0.82,0.92,0.87,0.82,0.86,0.06,0.92
umber.csv,0.0,0.23,0.16,0.47,0.17,0.42,0.34,0.06,0.14,0.4,0.44,0.37,0.25,0.17
xcmetadataservicestoolkit.csv,0.38,0.53,0.62,0.7,0.13,0.78,0.79,0.09,0.42,0.0,0.79,0.69,0.5,0.67
