,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.72,0.74,0.66,0.75
img-browse-sort.csv,0.93,0.44,0.66,0.83
pcsx2.csv,0.57,0.49,0.49,0.41
xstore.csv,0.53,0.56,0.47,0.38
