,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.53,0.81,1.0,0.5
img-browse-sort.csv,0.64,0.78,0.54,1.0
pcsx2.csv,0.63,1.0,0.49,0.37
xstore.csv,1.0,0.75,0.43,0.26
