,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,1.0,1.0,0.99,1.0,1.0,0.0,1.0,1.0,1.0,1.0
fityk.csv,0.5,0.89,0.61,0.64,0.5,1.02,0.61,0.07,0.68,0.61
freenet.csv,0.94,0.74,0.02,0.73,0.91,0.39,0.57,0.66,0.71,0.67
geogebra.csv,0.87,0.49,0.74,0.91,0.77,1.02,0.57,0.94,0.78,0.06
hibernate.csv,0.75,0.73,0.69,0.8,0.53,0.39,0.69,0.87,0.09,0.68
itext.csv,0.53,0.53,0.54,0.62,0.12,0.81,0.44,0.65,0.63,0.43
k3b.csv,0.69,0.5,0.53,0.12,0.48,0.57,0.48,0.75,0.6,0.49
lamp.csv,0.07,0.8,0.6,0.56,0.45,1.02,0.66,0.74,0.83,0.66
megameknet.csv,0.8,0.5,0.62,0.74,0.97,0.83,0.09,0.85,0.61,0.53
thout.csv,0.84,0.07,0.75,0.7,0.81,0.77,0.63,0.81,0.74,0.65
