,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fityk.csv,0.6,0.26,0.61,0.5,0.57,0.0,0.52,0.94,0.45,0.52
freenet.csv,0.39,0.54,0.98,0.55,0.34,0.74,0.56,0.59,0.46,0.57
geogebra.csv,0.17,0.59,0.56,0.12,0.56,0.31,0.48,0.11,0.54,0.95
hibernate.csv,0.39,0.54,0.37,0.28,0.6,0.74,0.37,0.17,0.93,0.51
itext.csv,0.67,0.56,0.61,0.49,0.9,0.29,0.64,0.52,0.46,0.7
k3b.csv,0.65,0.65,0.64,0.97,0.73,0.53,0.69,0.58,0.5,0.72
lamp.csv,0.94,0.24,0.47,0.5,0.61,0.0,0.4,0.34,0.2,0.39
megameknet.csv,0.52,0.6,0.49,0.38,0.13,0.29,0.92,0.34,0.47,0.6
thout.csv,0.38,0.94,0.54,0.53,0.52,0.48,0.51,0.46,0.47,0.51
