,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,142.0,190.0,0.0,81.0,63.0,0.0,306.0,65.0,561.0,395.0
fityk.csv,14.0,4.0,1.0,0.0,0.0,106.0,1.0,0.0,2.0,2.0
freenet.csv,10.0,1.0,0.0,0.0,7.0,7.0,0.0,1.0,4.0,6.0
geogebra.csv,14.0,3.0,1.0,2.0,9.0,75.0,0.0,2.0,8.0,0.0
hibernate.csv,4.0,9.0,1.0,0.0,2.0,8.0,12.0,1.0,0.0,6.0
itext.csv,9.0,3.0,0.0,1.0,0.0,16.0,2.0,1.0,3.0,3.0
k3b.csv,30.0,0.0,0.0,0.0,2.0,16.0,4.0,0.0,9.0,7.0
lamp.csv,0.0,0.0,1.0,0.0,0.0,106.0,13.0,0.0,4.0,3.0
megameknet.csv,11.0,0.0,5.0,1.0,10.0,28.0,0.0,2.0,28.0,14.0
thout.csv,13.0,0.0,2.0,0.0,10.0,16.0,5.0,0.0,25.0,7.0
