,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fityk.csv,0.3,0.17,0.67,0.59,0.63,0.0,0.37,0.96,0.36,0.37
freenet.csv,0.11,0.33,0.99,0.66,0.64,0.16,0.4,0.67,0.35,0.35
geogebra.csv,0.11,0.51,0.67,0.18,0.63,0.04,0.5,0.15,0.42,0.96
hibernate.csv,0.14,0.33,0.46,0.36,0.62,0.16,0.37,0.23,0.95,0.32
itext.csv,0.24,0.46,0.67,0.57,0.94,0.06,0.52,0.59,0.41,0.5
k3b.csv,0.21,0.46,0.7,0.97,0.73,0.11,0.47,0.75,0.44,0.47
lamp.csv,0.93,0.26,0.56,0.6,0.68,0.0,0.41,0.42,0.26,0.43
megameknet.csv,0.18,0.47,0.57,0.47,0.65,0.05,0.94,0.41,0.43,0.42
thout.csv,0.11,0.96,0.64,0.62,0.68,0.06,0.36,0.55,0.34,0.33
