,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fityk.csv,0.57,0.23,0.64,0.48,0.53,0.0,0.49,0.93,0.42,0.5
freenet.csv,0.5,0.61,0.98,0.62,0.85,0.75,0.54,0.64,0.44,0.62
geogebra.csv,0.14,0.55,0.68,0.1,0.76,0.5,0.43,0.09,0.75,0.94
hibernate.csv,0.36,0.59,0.32,0.24,0.59,0.75,0.32,0.14,0.91,0.51
itext.csv,0.71,0.52,0.6,0.45,0.88,0.25,0.61,0.5,0.42,0.7
k3b.csv,0.86,0.66,0.65,1.0,0.79,0.5,0.71,0.82,0.46,0.77
lamp.csv,0.93,0.2,0.42,0.45,0.56,0.0,0.35,0.3,0.17,0.34
megameknet.csv,0.79,0.57,0.46,0.34,0.88,0.25,0.91,0.32,0.43,0.58
thout.csv,0.36,0.93,0.62,0.55,0.88,0.5,0.48,0.5,0.46,0.49
