,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fityk.csv,0.2,0.13,0.71,0.76,0.78,0.0,0.3,1.0,0.32,0.29
freenet.csv,0.06,0.22,0.99,0.71,0.52,0.09,0.32,0.7,0.29,0.24
geogebra.csv,0.1,0.48,0.66,0.6,0.54,0.02,0.6,0.44,0.29,0.98
hibernate.csv,0.09,0.23,0.81,0.7,0.67,0.09,0.44,0.67,0.99,0.24
itext.csv,0.15,0.41,0.76,0.79,1.0,0.03,0.46,0.71,0.41,0.39
k3b.csv,0.12,0.35,0.75,0.95,0.68,0.06,0.35,0.69,0.41,0.34
lamp.csv,0.93,0.35,0.85,0.93,0.86,0.0,0.51,0.72,0.48,0.59
megameknet.csv,0.1,0.4,0.75,0.71,0.51,0.03,0.97,0.56,0.44,0.34
thout.csv,0.07,1.0,0.65,0.71,0.56,0.03,0.28,0.61,0.27,0.25
