,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.69,0.68,0.93,0.0,0.61,0.0,0.64,0.48,0.74,0.57
ibatisdb.csv,0.88,0.45,0.64,0.5,0.71,0.67,0.84,0.46,0.59,0.57
jmol.csv,0.56,0.42,0.44,0.61,0.46,0.42,0.75,0.46,0.42,0.46
liferea.csv,0.58,0.58,0.43,0.5,0.48,0.4,0.86,0.61,0.63,0.94
log4net.csv,0.67,0.0,0.55,0.38,0.95,0.79,0.42,0.56,0.86,0.7
pclasses.csv,0.68,0.86,0.8,0.67,0.8,0.96,0.75,0.75,0.6,0.72
psrchive.csv,0.69,0.91,0.5,0.41,0.73,0.93,0.61,0.48,0.64,0.67
re2c.csv,0.77,0.86,0.51,0.5,0.88,0.96,0.41,0.71,0.86,0.49
tycho.csv,0.71,0.89,0.65,0.62,0.78,0.58,0.53,0.68,0.84,0.55
xfce.csv,0.43,0.41,0.41,0.39,0.42,0.42,0.61,0.39,0.5,0.52
