,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.19,0.26,0.4,0.0,0.02,1.0,0.69,0.77,0.51,0.27
ibatisdb.csv,0.25,0.0,0.18,0.24,0.04,0.91,0.26,0.79,0.23,0.58
jmol.csv,0.18,0.11,0.14,0.21,0.02,0.9,0.54,0.7,0.2,0.26
liferea.csv,0.17,0.0,0.21,0.45,0.02,0.87,0.29,0.76,0.08,0.28
log4net.csv,0.67,1.0,0.16,0.25,0.16,0.83,0.62,0.81,0.19,0.19
pclasses.csv,0.47,0.0,0.4,0.33,0.04,0.81,0.5,0.75,0.18,0.14
psrchive.csv,0.19,0.45,0.41,0.24,0.08,0.73,0.74,0.7,0.25,0.22
re2c.csv,0.15,0.86,0.16,0.23,0.03,0.77,0.57,0.73,0.1,0.27
tycho.csv,0.21,0.44,0.29,0.25,0.03,0.77,0.81,0.82,0.2,0.11
xfce.csv,0.27,0.09,0.17,0.32,0.03,0.79,0.52,0.79,0.18,0.21
