,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.27,0.83,0.43,0.0,0.67,0.01,0.71,0.51,0.67,0.75
ibatisdb.csv,0.18,0.0,0.29,0.62,0.33,0.3,0.14,0.53,0.5,0.86
jmol.csv,0.64,1.0,0.64,0.46,1.0,0.72,0.37,0.97,1.0,0.92
liferea.csv,0.55,0.0,0.71,0.77,0.33,0.74,0.06,0.49,0.1,0.14
log4net.csv,0.18,0.17,0.43,0.62,1.0,0.24,0.43,0.41,0.23,0.14
pclasses.csv,0.82,0.0,0.14,0.08,0.67,0.21,0.29,0.02,0.43,0.22
psrchive.csv,0.27,0.83,0.93,0.62,0.67,0.11,0.49,0.71,0.47,0.28
re2c.csv,0.18,1.0,0.57,0.38,0.67,0.2,1.0,0.39,0.27,0.78
tycho.csv,0.27,0.67,0.64,0.31,0.33,0.37,0.74,0.28,0.3,0.31
xfce.csv,0.73,0.5,0.71,0.69,0.67,0.6,0.34,0.67,0.6,0.33
