,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.22,0.4,0.41,0.0,0.04,0.02,0.7,0.62,0.58,0.39
ibatisdb.csv,0.21,0.0,0.22,0.34,0.07,0.45,0.19,0.63,0.32,0.7
jmol.csv,0.28,0.19,0.23,0.29,0.04,0.8,0.44,0.81,0.34,0.41
liferea.csv,0.26,0.0,0.33,0.57,0.04,0.8,0.1,0.6,0.09,0.19
log4net.csv,0.29,0.29,0.23,0.36,0.27,0.37,0.51,0.55,0.21,0.16
pclasses.csv,0.6,0.0,0.21,0.12,0.08,0.33,0.36,0.03,0.25,0.17
psrchive.csv,0.22,0.59,0.57,0.34,0.14,0.19,0.59,0.7,0.33,0.24
re2c.csv,0.17,0.92,0.25,0.29,0.06,0.31,0.73,0.51,0.15,0.4
tycho.csv,0.24,0.53,0.4,0.28,0.05,0.5,0.78,0.42,0.24,0.16
xfce.csv,0.39,0.16,0.28,0.44,0.06,0.69,0.41,0.72,0.27,0.26
