,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,miranda-icq.csv,roolo.csv,freewrl.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,soar.csv,geotools.csv,web-cat.csv,fulguro.csv
cleartk.csv,0.03,0.79,0.43,0.99,0.34,0.38,0.53,0.66,0.46,0.39,0.35,0.0,0.77,0.1,0.77,0.58,0.17,0.45,0.47,0.0
encog-cs.csv,0.0,0.84,0.46,0.86,0.4,0.43,0.89,0.89,0.98,0.4,0.55,0.68,0.98,0.08,0.63,0.41,0.71,0.4,0.57,0.22
extprosys.csv,0.0,0.64,0.94,0.85,0.48,0.35,0.64,0.75,0.45,0.31,0.57,0.66,0.62,0.0,0.64,0.1,0.71,0.27,0.27,0.38
freewrl.csv,0.06,0.5,0.32,0.51,0.49,0.29,0.53,0.38,0.39,0.19,0.29,1.0,0.51,0.0,0.47,0.24,0.37,0.32,0.39,0.0
fulguro.csv,0.0,0.37,0.04,0.04,0.12,0.06,0.1,0.15,0.15,0.03,0.0,0.35,0.45,0.0,0.07,0.04,0.21,0.06,0.0,1.0
geotools.csv,0.11,0.45,0.25,0.19,0.3,0.32,0.33,0.33,0.16,0.38,0.15,0.14,0.52,0.0,0.27,0.49,0.0,0.96,0.5,0.0
ibatisdb.csv,0.0,0.45,0.19,0.11,0.15,0.28,0.44,0.3,0.08,0.25,0.22,0.0,0.32,0.0,0.18,0.97,0.0,0.31,0.32,0.0
intact.csv,0.03,0.89,0.36,0.75,0.4,0.89,0.85,0.85,0.57,0.41,0.39,0.54,0.5,0.04,0.6,0.18,0.58,0.43,0.41,0.17
japano.csv,0.03,0.87,0.42,0.6,0.32,0.37,0.56,1.0,0.52,0.4,0.36,0.62,0.95,0.11,0.73,0.4,0.63,0.38,0.55,0.0
miranda-icq.csv,0.0,0.39,0.41,0.59,0.27,0.41,0.55,0.7,0.3,0.97,0.59,0.69,0.87,0.0,0.43,0.11,0.68,0.3,0.51,0.24
ofbiz.csv,0.0,0.58,0.45,0.36,0.22,0.35,0.1,0.31,0.42,0.37,0.16,0.0,0.68,0.29,0.99,0.4,0.06,0.34,0.56,0.0
opennms.csv,0.0,0.49,0.1,0.06,0.98,0.06,0.36,0.24,0.29,0.3,0.0,0.13,0.32,0.0,0.23,0.17,0.43,0.33,0.0,0.0
papertoolkit.csv,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.06,0.0,0.0
rohxel.csv,0.02,0.79,0.41,0.83,0.41,0.4,1.0,0.89,0.48,0.34,0.59,0.57,0.96,0.07,0.73,0.4,0.69,0.44,0.52,0.2
roolo.csv,0.0,0.31,0.32,0.19,0.16,0.21,0.34,0.31,0.21,0.11,0.98,0.48,0.2,0.18,0.32,0.07,0.27,0.3,0.36,0.21
sevenupdate.csv,0.02,1.0,0.43,0.8,0.34,0.4,0.66,0.72,0.45,0.42,0.26,0.55,0.89,0.1,0.74,0.41,0.25,0.49,0.53,0.22
soar.csv,0.0,0.82,0.33,0.75,0.38,0.39,0.65,0.89,0.45,0.39,0.48,0.46,0.91,0.08,0.72,0.46,1.0,0.41,0.54,0.22
web-cat.csv,0.0,0.31,0.06,0.52,0.24,0.26,0.59,0.6,0.3,0.2,0.47,0.7,0.59,0.0,0.21,0.14,0.68,0.22,1.0,0.2
