,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.44,0.71,0.67,0.59,0.37,0.61,0.04,0.46,0.3,0.2,0.38,0.82
emulemorph.csv,0.06,0.04,0.0,0.68,0.0,0.0,0.23,0.01,0.09,0.02,0.0,0.13
fulguro.csv,0.35,0.2,0.53,0.0,0.42,0.39,0.67,0.51,0.31,0.44,0.49,0.65
fw4spl.csv,0.28,0.45,0.54,0.0,0.56,0.18,0.29,0.02,0.5,0.13,0.54,0.48
gnome-jabber.csv,0.57,0.6,0.64,0.72,0.67,0.26,0.4,0.65,0.49,0.52,0.57,0.68
ipfilter.csv,0.63,0.52,0.45,0.27,0.7,0.41,0.52,0.0,0.96,0.52,0.55,0.48
ipfire-wall.csv,0.54,0.33,0.33,0.36,0.76,0.38,0.28,0.17,0.58,0.59,0.57,0.46
libmesh.csv,0.35,0.11,0.43,0.2,0.31,0.7,0.39,0.0,0.05,0.27,0.46,0.28
rockbox.csv,0.17,0.29,0.46,0.38,0.48,0.3,0.58,0.32,0.05,0.12,0.59,0.69
soar.csv,0.34,0.0,0.48,0.0,0.0,0.0,0.64,0.0,0.47,0.43,0.0,0.0
tencompetence.csv,0.42,0.07,0.12,0.51,0.43,0.57,0.59,0.38,0.13,0.78,0.49,0.0
xbrlapi.csv,0.68,0.1,0.42,0.75,0.6,0.35,0.52,0.0,0.28,0.31,0.65,0.47
