,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,1.0,0.65,0.67,1.0,0.89,0.51,0.81,0.96,1.0,0.68,0.67,0.9,0.61,0.58,0.86,1.0,1.0
codepurge.csv,0.76,0.54,0.65,0.81,0.87,0.6,0.5,0.71,0.95,0.55,0.76,0.69,0.6,0.38,0.58,0.65,0.89
fontforge.csv,1.0,0.84,1.0,1.0,1.0,0.64,0.98,0.33,0.93,1.0,0.54,0.92,0.84,0.98,0.99,0.87,0.99
gmerlin.csv,1.0,1.0,0.98,1.0,1.0,0.83,1.0,1.0,0.91,1.0,1.0,0.88,1.0,1.0,1.0,0.58,0.74
hatari.csv,0.71,0.54,0.46,0.84,0.91,0.59,0.81,0.94,0.93,0.88,0.41,0.97,0.72,0.73,0.97,0.59,0.71
jaolt.csv,0.55,0.7,0.66,0.73,0.89,0.64,0.4,0.65,0.5,1.0,0.59,0.67,0.6,0.54,1.0,0.68,0.62
jcl.csv,0.49,0.51,0.59,0.74,0.54,0.63,0.4,0.57,0.81,0.86,0.66,0.84,0.68,0.74,0.58,0.83,0.67
ltp.csv,0.8,0.69,0.82,0.56,0.49,0.68,1.3,0.87,0.73,0.72,0.45,0.58,0.79,0.77,0.85,0.83,0.67
mia.csv,0.63,0.81,0.67,0.84,0.95,0.75,0.37,0.59,0.84,0.95,0.6,0.49,0.84,1.0,0.82,0.69,0.76
net-snmp.csv,0.47,0.76,0.5,0.76,0.87,0.94,0.54,0.97,0.89,0.75,0.96,0.59,0.59,0.67,0.78,0.74,0.86
opde.csv,1.0,0.62,1.0,0.54,1.0,0.64,0.44,0.59,0.68,0.97,0.45,0.96,0.72,0.59,0.97,0.7,0.72
oppna-program-hsatools.csv,0.51,0.52,0.41,0.96,0.6,0.55,0.54,1.0,0.72,0.9,0.25,0.94,0.61,0.89,0.77,0.74,0.78
powerfolder-.csv,0.77,0.37,0.63,1.0,0.84,0.79,0.58,0.88,0.84,0.92,0.49,0.99,0.68,0.92,0.65,0.6,0.73
qlc.csv,1.0,0.74,1.0,0.69,0.91,0.59,0.31,1.0,0.43,0.68,0.78,0.88,0.64,0.76,0.59,1.0,0.76
quantlib.csv,1.0,0.97,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.97,1.0,0.97,1.0,1.0,1.0,0.44
tcl.csv,0.81,0.84,0.83,0.97,0.66,0.75,1.26,1.0,0.66,0.45,0.75,0.99,0.94,0.83,1.0,0.93,0.8
