,wgs-assembler.csv,nh3d.csv,jvcl.csv,blogentis.csv,m-m-m.csv,htmlunit.csv,emulemorph.csv
blogentis.csv,0.04,0.16,0.2,0.96,0.29,0.5,0.16
emulemorph.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.8
htmlunit.csv,0.39,0.0,0.22,0.28,0.27,0.97,0.1
jvcl.csv,0.0,0.0,1.0,0.17,0.18,0.07,0.0
m-m-m.csv,0.4,0.02,0.13,0.36,1.0,0.42,0.04
nh3d.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.0
wgs-assembler.csv,1.0,0.03,0.11,0.12,0.45,0.25,0.13
