,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.6,0.23,0.52,0.33,0.67,0.3,0.28,0.27,0.77,0.2
gamestone.csv,0.0,0.15,0.1,0.4,0.21,0.0,0.0,0.26,0.12,0.2
gbif-providertoolkit.csv,0.74,0.37,0.31,0.14,0.3,0.04,0.85,0.34,0.48,0.7
heekscad.csv,0.28,0.19,0.24,0.29,0.51,0.35,0.42,0.34,0.69,0.4
igarden.csv,0.28,0.25,0.2,0.35,0.19,0.17,0.42,0.16,0.31,0.2
levent.csv,0.38,0.12,0.0,0.01,0.72,0.3,0.5,0.0,0.0,0.0
owlapi.csv,0.79,0.38,0.48,0.22,0.81,0.57,0.92,0.26,0.44,0.6
pnotepad.csv,0.17,0.58,0.7,0.96,0.85,0.48,0.43,0.85,1.0,0.0
quark.csv,0.13,0.02,0.07,0.06,0.09,0.0,0.03,0.14,0.19,0.1
xcsoar.csv,0.23,0.13,0.25,0.43,0.42,0.26,0.32,0.32,1.0,0.0
