aardvarktool,511,780,0.655128
abstractadonet,520,878,0.592255
accela,12026,15578,0.771986
aggie,641,1100,0.582727
aggoo,15887,20358,0.780381
ailoom,655,1487,0.440484
airfart,0,34,0
ajaxtoaster,863,1621,0.532387
amorph,1068,1191,0.896725
andromdaplugins,2159,3701,0.583356
antlreclipse,11937,17411,0.685601
apt-jelly,725,861,0.842044
arqlib,8349,9305,0.89726
atgeclipse,512,697,0.734577
atrisframework,26538,29242,0.90753
attrib4j,521,736,0.70788
atv,5613,6992,0.802775
basic-ide,3,266,0.0112782
bcel,41761,46396,0.900099
bh3d,1192,1736,0.686636
bibom,46,252,0.18254
boardgametool,1345,3009,0.446992
boardmod,122,420,0.290476
brawl,196,371,0.528302
brownbag,5500,7775,0.707395
burningwater,459,1011,0.454006
c6x-tools,0,20,0
calculation,6,167,0.0359281
catnap-layer,719,937,0.767343
cdk,71819,84162,0.853342
c-it,4027,5579,0.721814
cmfie,121,196,0.617347
cnxmanager,1188,2075,0.57253
cockatoo,0,54,0
colander,784,1159,0.676445
contiki,8718,10363,0.841262
cpmake,1151,1640,0.701829
cruisecontrol,11169,15596,0.716145
cryptix-asn1,1984,2683,0.739471
cybercore,3596,5150,0.698252
d2slacker,894,1342,0.66617
dar,2060,3787,0.543966
dasher,423,1409,0.300213
dbdesign,5781,7153,0.808192
dbunit,3958,5241,0.755199
digiforce,19905,21114,0.942739
dpcl,2397,6374,0.376059
dslib,4548,5839,0.7789
ebml,968,1264,0.765823
eboard,1315,2722,0.483101
ebob,1782,2367,0.752852
echo2faces,2155,3357,0.641942
eclipse-javacc,1938,3062,0.63292
eclipservices,762,1004,0.758964
eda,634,2041,0.310632
ejbbuilder,1335,1889,0.706723
ejoe,3093,4052,0.763327
elfio,417,790,0.527848
escapek,3346,4467,0.749049
esiobjects,8862,18670,0.474665
fast-code,1838,2370,0.775527
fishnomore,388,631,0.614897
forkpackages,3446,4304,0.800651
formproc,4377,4761,0.919345
freestitch,16079,16596,0.968848
freestyledust,111,275,0.403636
fsfs,293,644,0.454969
furies,1070,1451,0.737422
fwcontrib,886,1865,0.475067
gamefu,0,23,0
glassbox,11102,14987,0.740775
glt,9516,13271,0.717052
glubs,972,1946,0.499486
gnosislims,898,1422,0.631505
gnugsl,6,69,0.0869565
gpu,7904,12453,0.634706
groab,386,508,0.759843
gsbt,699,1034,0.676015
gtads,20783,21519,0.965798
gtkeditor,0,67,0
gusi,51,109,0.46789
hapy,183,460,0.397826
hblok,25108,26534,0.946258
hiberclipse,2427,3110,0.780386
holdemcockpit,916,1359,0.674025
icescan,26,331,0.0785498
icsoft,1844,1991,0.926168
ifpgui,68,358,0.189944
igj,16,124,0.129032
incanto,726,952,0.762605
instantobjects,19968,25151,0.793925
isys2,14647,16297,0.898754
jabberbeans,5219,6480,0.805401
jackpp,119,425,0.28
jaga,8036,10427,0.770691
jarsync,5452,7428,0.73398
javaguard,1621,2367,0.684833
jaxor,5777,7750,0.745419
j-bird,95408,101366,0.941223
jbook,2259,2401,0.940858
jbossadmingui,789,1176,0.670918
jcryptfx,1901,2489,0.763761
jcsc,23667,24790,0.954699
jdiagnose,5319,7793,0.682536
jewelbox,258941,267991,0.96623
jfunc,782,1048,0.746183
jgedit,2279,3325,0.685414
jge-engine,6000,6535,0.918133
jobscheduler,1494,3171,0.471145
join,20906,27195,0.768744
jpacket,6058,6414,0.944496
jpf,7960,8408,0.946717
jprogect,10898,11357,0.959584
jrobin,9643,11479,0.840056
jsorter,2588,2706,0.956393
jsqldoc,300,408,0.735294
jstatemachine,3612,4303,0.839414
jtestcase,4979,6791,0.733176
jtoe,1024,1222,0.837971
jxmenu,1027,1166,0.880789
kameleon,2096,2982,0.702884
kaptleen,7,154,0.0454545
kcheat,6,221,0.0271493
kde-cim,129,446,0.289238
launch4j,15848,16381,0.967462
lazarus-ccr,1402,2375,0.590316
ldapd,189,297,0.636364
leaf2,2542,4099,0.620151
lefthand,11552,13515,0.854754
lets-talk,16280,24603,0.661708
libdsp,721,1710,0.421637
linpal,29,203,0.142857
live-graph,4900,5398,0.907744
lobtracestream,126,446,0.282511
lpd,9150,13939,0.656432
lpdspooler,1385,1661,0.833835
marauroa,7009,7922,0.884751
mayatomgc,28,160,0.175
mbootp,765,814,0.939803
meconsole,1893,3281,0.576958
microdev,21461,27556,0.778814
milkengine,1577,4042,0.390153
mm8leveleditor,57419,61664,0.931159
mmssuite,10822,11119,0.973289
morphious,11280,12124,0.930386
msysrssreader,405,553,0.732369
myster,39104,41909,0.933069
mywl,752,954,0.78826
nagiosappender,103,220,0.468182
napkinlaf,30630,32066,0.955217
netlogclient,191,437,0.437071
net-policy,14,102,0.137255
netradar,116,503,0.230616
ngraver,895,1464,0.611339
