a2ixlibrary,1565,21,0,1154
aa-project,39116,149,0,10011
aardvarktool,3011,36,37,2117
abstractadonet,5004,78,74,3562
accela,24715,196,412,9189
admpanel,8608,42,0,7084
aggie,7021,32,100,5257
aggoo,99887,400,640,60632
ailoom,10351,175,128,7055
airfart,2194,30,4,1613
ajaxtoaster,9692,56,59,6929
amorph,2816,28,33,1890
andromdaplugins,26998,258,260,16512
antlreclipse,65850,598,639,43413
apt-jelly,1178,42,56,924
argtable,10861,57,0,6845
arqlib,10265,44,106,8122
asm,1685,5,0,1287
asxa,2200,12,0,1874
atgeclipse,2542,30,44,1433
atrisframework,29676,136,168,19553
attrib4j,3103,40,44,1929
atv,22523,211,204,17504
bacnet-sim,5911,25,0,4142
basic-ide,4650,26,0,3477
bcel,39758,455,566,29989
bh3d,6818,92,82,6856
bibom,2444,31,15,1600
bns,2610,20,0,2162
boardgametool,27992,246,221,17853
boardmod,10148,23,7,7609
bpalogin,1158,6,0,981
brawl,1982,13,20,1534
brownbag,22104,303,302,13339
burningwater,8672,141,69,5546
c6x-tools,511095,1252,2,282561
calculation,2234,25,11,1711
catnap-layer,2318,39,43,1825
cbar,1363,15,0,1099
cdk,137641,1250,1415,107014
cds-bcr,6097,51,0,4348
c-it,16826,167,217,10150
clinkc,12594,135,0,8803
cmfie,2747,20,20,1783
cnxmanager,16383,60,0,9894
cockatoo,3965,76,9,3072
colander,9659,48,66,6509
contact-manager,38138,180,0,25119
contiki,187721,2657,360,122480
cpmake,7899,64,63,5048
cruisecontrol,46881,479,662,35380
cryptix-asn1,7426,74,76,6084
cybercore,19996,334,330,10404
czechtok,3163,36,0,3256
d2slacker,8135,85,94,4196
dar,38769,184,140,26144
dasher,44304,282,138,30991
dbdesign,21844,122,126,15965
dbunit,14610,170,185,8949
detox,2578,33,0,1636
digiforce,52109,423,155,40457
dpcl,88907,462,213,62005
dslib,10236,149,73,5852
dwi,7012,81,0,5504
ebml,2593,56,42,2030
eboard,27684,96,182,25414
ebob,6168,92,130,4679
echo2faces,15615,153,171,11234
eclipse-javacc,18460,85,120,12679
eclipservices,1963,20,64,1419
eda,73840,490,108,55105
ejbbuilder,5308,59,107,3789
ejoe,12532,175,186,7630
elfio,3634,44,36,2220
embunit,1845,52,0,1559
escapek,11780,176,242,8109
esiobjects,147083,948,486,99438
expect,13496,53,0,10296
fast-code,8577,80,100,6357
fbc,38096,723,0,26829
fishnomore,2207,24,28,1874
forkpackages,12683,125,147,9772
formproc,3722,73,80,2767
freestitch,5768,71,99,3909
freestyledust,4927,10,0,3032
fsfs,20199,68,69,17124
furies,2603,52,60,1978
fwcontrib,14973,82,99,9398
gamefu,1363,18,4,925
gbts,6452,103,0,4885
glassbox,25619,466,625,19763
glg,34371,279,0,18499
glt,302933,921,327,112028
glubs,2750,81,81,2175
gnopstree,2514,40,0,1635
gnosislims,5579,71,90,3993
gnugsl,6350,149,8,3884
gpu,253328,654,42,169878
groab,2379,25,30,1792
gsbt,4969,54,55,3833
gtads,9368,83,100,6969
gtkdial,3111,23,0,2367
gtkeditor,29334,59,5,18965
gtruko,2105,17,0,1524
gusi,2462,51,8,2003
gwcc,18392,93,0,12912
hapy,10364,44,35,3256
hblok,13533,198,247,10490
hiberclipse,8269,140,150,5495
holdemcockpit,5833,48,75,4579
icescan,12037,97,39,8560
icsoft,1908,22,37,1321
idair,2809,27,0,1846
ifpgui,11034,46,21,6259
igj,17950,128,11,14691
incanto,2141,46,50,1677
instantobjects,68164,181,0,40764
isys2,17677,296,426,11408
jabberbeans,10972,192,233,6697
jackpp,3245,61,28,2485
jaga,30564,296,359,23623
jarsync,36733,213,260,25340
javaguard,6410,76,90,4510
jaxor,13034,295,352,10310
j-bird,64739,550,862,45084
jbook,1239,10,34,919
jbossadmingui,2792,52,66,2158
jcryptfx,4990,142,142,4017
jcsc,13024,104,201,7947
jdiagnose,18562,335,403,14974
jewelbox,98340,1310,1459,79290
jfunc,2443,20,40,1684
jgedit,11037,89,186,8784
jge-engine,4587,75,98,3554
jobscheduler,367042,1238,158,282045
join,49994,752,782,40488
jpacket,3197,40,41,2634
jpf,5652,46,110,4044
jprogect,4838,34,72,3472
jrobin,20215,190,247,14863
jsorter,1494,19,27,1219
