jsqldoc,1276,26,26,1024
jstatemachine,5468,121,126,4045
jtestcase,17884,285,397,13005
jtoe,2696,55,75,2010
jxmenu,1428,23,40,1003
kameleon,11101,139,95,9604
kaptleen,2579,41,19,1572
kcheat,2469,39,18,2008
kde-cim,4395,88,51,2960
kof91,31773,196,0,26114
kvglininstaller,42978,288,0,31626
launch4j,6355,84,107,4589
lazarus-ccr,53949,162,0,30070
ldapd,1233,20,16,803
leaf2,94371,178,0,61919
lefthand,105323,1211,373,86002
lets-talk,83344,1044,1090,58066
libclc,2768,45,0,2095
libcli,2010,3,0,1562
libdsp,51700,108,26,34383
linpal,3496,16,12,2893
linux-802-15-4,14158,15,0,1457
live-graph,5304,34,128,4345
lmbench,16310,126,0,81822
lobtracestream,4058,17,19,2806
lpd,63869,461,546,43242
lpdspooler,3407,48,52,2572
malakh,2079,18,0,1303
marauroa,16966,105,168,10435
mayatomgc,2118,26,16,1529
mbootp,1977,7,12,1703
meconsole,63524,144,51,48268
microdev,78567,704,532,57261
milkengine,22456,207,220,16699
mm8leveleditor,42114,313,805,28656
mmssuite,3444,39,75,2572
morphious,12042,44,108,8642
msysrssreader,2924,35,32,2293
mt-daapd,22545,109,3,17261
myster,22569,323,593,17171
mywl,1684,28,40,1284
nagiosappender,1273,6,7,962
napkinlaf,14422,150,323,10653
netlogclient,4975,32,31,3678
net-policy,50235,281,9,37732
netradar,4755,36,22,4221
ngraver,7764,115,124,5210
njs,23656,73,0,21038
nmapwin,32252,198,66,24817
nostromodriver,1819,12,1,1363
nspring,16171,60,74,8731
ntw,9659,214,18,8140
o2xmapper,9530,96,114,6465
ofpr,5864,90,120,4720
oness,3599,58,58,2921
openbt,23243,84,0,14445
openefm,18656,296,299,15522
open-ha-cluster,6162,26,0,4887
openillusionist,31576,254,138,22927
openjmx,24193,275,370,16877
openmgcp,46381,38,0,32188
openpoplog,16711,102,0,11958
openrds,5349,48,85,3586
openrequest,32682,669,672,19686
opensteer,12426,72,91,8640
osage,10207,171,279,7029
osgjuggler,3873,81,34,2748
ouoss,38654,310,427,26471
p2p-radio,10761,103,124,5997
palmvnc2,7116,49,0,5404
pfpro,8500,68,149,5311
phosphor,17028,112,439,13423
phpdavinci,2338,31,36,1830
pic-gcc-library,12766,224,0,9852
platonos,14049,191,230,9494
pliant,8034,54,0,9247
plptools,27806,190,69,21024
pols,41472,173,104,31162
posit,47676,335,349,28616
pred,2039,33,40,1471
premake,16685,132,67,12612
projectfootball,18259,250,126,12550
prospear,15160,103,129,12621
psotnic,24051,121,154,17649
pvrbot,3645,37,38,2903
qaproxy,2329,5,0,1508
qiqu,19563,251,300,11997
qkalahari,3422,29,12,2626
qof-jdbc,17719,186,342,14324
qsynaptics,1308,13,6,1114
raddump,6017,12,0,4430
raine,220815,529,0,162517
realm,77153,360,117,57444
realmsofmagic,22396,205,252,14558
relay6,4869,25,0,3209
remotefinder,19665,73,0,15483
reteptools,62791,654,866,46382
retrotranslator,15906,186,357,11560
riser,30125,716,878,22671
routeruler,16275,140,291,12994
rstatd,3348,28,0,2587
rvsn00p,7325,77,164,6131
sablecc,27952,277,332,15787
safecopy,2368,10,0,2078
sartoris,62892,553,2,47242
saxondotnet,174220,1569,1792,124177
scrap,12549,87,37,7327
scst,61030,63,0,21036
scubatoolkit,9974,75,117,7292
securertp,2659,42,58,1656
securesms,3209,63,65,2032
securityfilter,3273,71,74,2147
semantikos,8395,54,172,6174
sharpflash,1427,11,11,820
side4u,4220,49,118,2579
sigel,32972,360,185,22903
simfony,2416,77,79,1656
sitast,4313,118,118,3468
skyeye,728769,2525,103,424408
smartanalyzer,4519,97,105,3346
smartfeedback,2086,10,0,1476
smarty4j,11598,241,250,8381
snes9express,7716,29,57,5579
soapical,22390,327,409,16130
souptonuts,3821,49,0,2431
spec,527247,1196,3316,231489
spheresuite,2930,16,0,2084
spwrapper,10165,141,163,7478
sse-examples,69657,1079,1508,49177
staf,156597,636,782,93203
statopolycli,2225,17,0,1540
stroom,16579,187,172,11374
stu,11364,79,111,8332
stunts3d,4370,62,44,3261
synetman,3992,26,0,3207
synopsis,56871,314,677,45705
syrup,6529,75,82,3566
teledat,3318,27,0,2427
tertis,2305,44,23,3107
tgl,21603,312,186,16938
thx,8081,111,65,6225
tidyfornet,29576,110,37,15571
tnf2,68775,324,361,54012
toaster,7035,46,5,4220
toba,8833,80,202,6838
toppers-utils,88623,1703,435,61634
tracksail,2031,15,30,1611
tuxpaint,31382,122,1,20959
tuxtype,9466,34,0,7816
txth,27051,147,190,16680
uaex,87468,27,1,68773
uced,59517,635,893,45728
umleditor,148366,1308,1716,106691
usercontrol,14564,60,0,9356
usermanager2,5431,24,10,3143
uvc,5530,20,32,3696
vmaster,78743,918,1390,57214
vnc-tight,343568,2292,813,263626
vnuml,2284,10,0,1885
voodoo,12480,103,167,8476
vronline,22694,105,416,19036
welofunc,16578,323,403,12998
wiideocenter,16334,158,238,12055
wikiportal,2075,54,76,1661
winlirc,6076,40,12,4469
worms3d,8756,53,10,7347
wowicon,21253,210,158,15445
wxlua,64675,193,117,46914
xeno,4046,19,0,2902
xing,44750,886,1175,34122
xmlceclipse,2058,26,40,1330
xmlhelper,2475,10,31,1547
xmloatmeal,2696,48,52,1963
xmlvoc,14710,166,239,11130
xmoon,2139,35,35,1558
xtas,3856,76,77,2748
xtc4y,5864,130,133,4071
xvcl,84233,81,0,51833
zige,61496,309,214,60457
