aa-project,10,16,0.177777
aardvarktool,37,332,0.249249
abstractadonet,66,362,0.084382
accela,302,788,0.008668
admpanel,3,3,0.500000
aggie,101,626,0.061980
aggoo,548,4138,0.013804
ailoom,105,394,0.036080
airfart,4,8,0.666666
ajaxtoaster,59,788,0.230274
amorph,33,385,0.364583
andromdaplugins,231,1535,0.028891
antlreclipse,613,5083,0.013549
apt-jelly,55,293,0.098653
argtable,12,12,0.090909
arqlib,106,1098,0.098652
atgeclipse,44,210,0.110993
atrisframework,168,2298,0.081907
attrib4j,43,432,0.239202
atv,209,2168,0.049871
basic-ide,12,32,0.242424
bcel,559,9106,0.029193
bh3d,78,283,0.047119
bibom,12,46,0.348484
bns,8,13,0.232142
boardgametool,195,1300,0.034364
boardmod,21,98,0.233333
brawl,15,84,0.400000
brownbag,298,2592,0.029286
burningwater,58,193,0.058378
c6x-tools,445,841,0.004256
calculation,5,14,0.700000
catnap-layer,43,325,0.179955
cbar,5,7,0.350000
cdk,1412,20712,0.010395
cds-bcr,5,8,0.400000
c-it,216,2618,0.056373
clinkc,3,4,0.666666
cmfie,20,74,0.194736
cnxmanager,94,315,0.036032
cockatoo,4,8,0.666666
colander,66,963,0.224475
contact-manager,106,130,0.011680
contiki,597,2975,0.008361
cpmake,62,609,0.161025
cruisecontrol,656,6917,0.016098
cryptix-asn1,76,1132,0.198596
cybercore,318,2609,0.025881
d2slacker,94,459,0.052505
dar,144,1276,0.061965
dasher,208,526,0.012216
dbdesign,124,656,0.043010
dbunit,185,1063,0.031227
detox,4,6,0.500000
digiforce,184,774,0.022986
dpcl,218,1469,0.031053
dslib,71,417,0.083903
ebml,36,169,0.134126
eboard,125,716,0.046193
ebob,129,1097,0.066436
echo2faces,170,2378,0.082770
eclipse-javacc,119,692,0.049280
eclipservices,64,325,0.080605
eda,64,135,0.033482
ejbbuilder,105,537,0.049175
ejoe,185,1937,0.056903
elfio,24,106,0.192028
escapek,241,1872,0.032365
esiobjects,325,1269,0.012051
expect,8,13,0.232142
fast-code,102,781,0.075810
fbc,3,6,1.000000
fishnomore,28,208,0.275132
forkpackages,146,828,0.039111
formproc,80,707,0.111867
freestitch,97,918,0.098582
freestyledust,16,76,0.316666
fsfs,70,232,0.048033
furies,60,386,0.109039
fwcontrib,99,875,0.090187
gamefu,3,4,0.666666
glassbox,624,4623,0.011891
glg,8,21,0.375000
glt,343,1929,0.016444
glubs,81,619,0.095524
gnosislims,84,574,0.082329
gnugsl,30,51,0.058620
gpu,370,1404,0.010283
groab,30,415,0.477011
gsbt,55,450,0.151515
gtads,100,1282,0.129494
gtkeditor,14,20,0.109890
gusi,13,14,0.089743
gwcc,3,3,0.500000
hapy,29,104,0.128078
hblok,267,2512,0.035369
hiberclipse,146,1004,0.047425
holdemcockpit,73,526,0.100076
icescan,47,173,0.080018
icsoft,37,322,0.241741
idair,5,11,0.550000
ifpgui,12,43,0.325757
igj,44,104,0.054968
incanto,49,262,0.111394
instantobjects,541,2986,0.010221
isys2,421,3588,0.020291
jabberbeans,233,2123,0.039274
jackpp,25,71,0.118333
jaga,357,4726,0.037185
jarsync,255,3401,0.052508
javaguard,90,859,0.107240
jaxor,351,3075,0.025030
j-bird,855,9328,0.012775
jbook,34,318,0.283422
jbossadmingui,63,323,0.082693
jcryptfx,141,1144,0.057953
