,selenium.csv,cities3d.csv,levent.csv,xemeiah.csv,bwapi.csv,img-browse-sort.csv,somap.csv,pnotepad.csv
bwapi.csv,0.38,0.0,0.0,0.53,0.77,0.0,0.0,0.54
cities3d.csv,0.34,0.7,0.0,0.04,0.02,0.1,0.35,0.31
img-browse-sort.csv,0.66,0.67,0.42,0.64,0.2,0.72,0.0,0.6
levent.csv,0.74,0.68,0.66,0.64,0.28,0.81,0.62,0.49
pnotepad.csv,0.46,0.74,0.6,0.74,0.51,0.4,0.46,0.92
selenium.csv,0.72,0.74,0.54,0.66,0.27,0.57,0.68,0.56
somap.csv,0.52,0.05,0.0,0.31,0.49,0.59,0.88,0.66
xemeiah.csv,0.27,0.76,0.46,0.75,0.33,0.55,0.0,0.6
