,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.97,0.8,0.94,0.96,0.9,0.97,0.0,0.98,0.91,0.95,0.98,0.0,0.8,0.89,0.0,0.94,0.86,0.0,0.88,0.94
baadengine.csv,0.44,0.4,0.35,0.43,0.4,0.48,0.56,0.36,0.35,0.43,0.44,0.29,0.41,0.36,0.44,0.35,0.42,0.52,0.38,0.62
bibedt.csv,0.79,0.91,0.74,0.82,0.5,0.61,0.56,0.84,0.73,0.83,0.78,0.89,0.89,0.45,0.94,0.97,0.9,0.86,0.57,0.36
cascading.csv,0.63,0.44,0.36,0.56,0.43,0.48,0.67,0.43,0.47,0.45,0.51,0.69,0.35,0.44,0.54,0.35,0.44,0.88,0.49,0.36
chaosrts.csv,0.42,0.37,0.47,0.4,0.37,0.46,0.54,0.35,0.37,0.33,0.45,0.29,0.39,0.37,0.41,0.35,0.36,0.52,0.4,0.46
exl.csv,0.55,0.48,0.46,0.47,0.44,0.54,0.54,0.43,0.42,0.69,0.58,0.38,0.53,0.39,0.64,0.47,0.57,0.52,0.48,0.45
gnome-jabber.csv,0.46,0.41,0.36,0.42,0.38,0.44,0.55,0.39,0.37,0.48,0.5,0.41,0.39,0.37,0.5,0.37,0.42,0.52,0.4,0.4
gogoego.csv,0.72,0.9,0.92,0.74,0.79,0.92,0.56,0.84,0.92,0.8,0.93,0.88,0.89,0.54,0.96,0.94,0.9,0.52,0.78,0.83
httpcontentparser.csv,0.99,0.0,0.92,0.0,0.94,0.82,0.8,0.92,0.95,0.0,0.94,0.0,0.86,0.94,0.97,0.95,0.86,0.74,0.8,0.92
impala.csv,0.72,0.93,0.95,0.94,0.88,0.7,0.9,0.99,0.99,0.83,0.97,0.55,0.61,0.62,0.75,0.96,0.0,0.64,0.98,0.93
jaxlib.csv,0.98,0.75,0.8,0.88,0.89,0.86,0.86,0.96,0.86,0.8,0.79,0.5,0.0,0.8,0.0,0.83,0.83,0.75,0.94,0.38
jgameai.csv,0.99,0.9,0.95,0.94,0.75,0.81,0.9,0.91,0.98,0.73,0.71,0.9,0.92,0.91,0.98,0.96,0.96,0.91,0.83,0.56
jhotdraw.csv,0.86,0.5,0.9,0.93,0.61,0.95,0.67,0.8,0.98,0.88,0.96,0.86,0.92,0.89,0.78,0.96,0.93,0.81,0.91,0.94
patterntesting.csv,0.44,0.37,0.52,0.43,0.36,0.39,0.5,0.39,0.38,0.53,0.47,0.41,0.39,0.39,0.42,0.38,0.44,0.43,0.39,0.39
pokeglobal.csv,0.61,0.53,0.41,0.56,0.47,0.53,0.88,0.47,0.37,0.85,0.94,0.28,0.94,0.5,0.49,0.4,0.49,0.67,0.46,0.67
snakeyaml.csv,0.88,0.9,0.88,0.57,0.75,0.72,0.78,0.98,0.62,0.5,0.91,0.39,0.0,0.93,0.96,0.97,0.94,0.83,0.64,0.59
unflobtactical.csv,0.58,0.64,0.78,0.64,0.54,0.57,0.56,0.75,0.73,0.71,0.55,0.63,0.57,0.48,0.87,0.74,0.61,0.74,0.42,0.5
werx.csv,0.42,0.36,0.36,0.42,0.4,0.48,0.54,0.36,0.36,0.45,0.45,0.3,0.39,0.38,0.41,0.33,0.4,0.52,0.39,0.48
zealos.csv,0.57,0.61,0.83,0.58,0.55,0.74,0.68,0.7,0.71,0.91,0.69,0.55,0.79,0.54,0.96,0.75,0.7,0.92,0.46,0.42
