,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.16,0.0,0.0,0.23,0.21,0.35,0.0,0.18,0.03,0.36,0.23,0.02,0.07,0.19,0.0,0.08,0.09,0.0,0.16,0.62
baadengine.csv,0.02,0.8,1.0,0.63,0.72,0.49,1.0,0.78,0.97,0.94,0.6,0.98,0.8,0.81,0.53,0.91,0.97,1.0,1.0,0.54
bibedt.csv,0.24,0.17,0.75,0.17,0.24,0.32,0.09,0.14,0.22,0.0,0.15,0.19,0.0,0.08,0.06,0.15,0.06,0.0,0.11,0.08
cascading.csv,0.39,0.54,1.0,0.31,0.48,0.32,0.06,0.51,0.43,0.23,0.36,0.31,0.49,0.38,0.38,0.73,0.0,0.0,0.21,0.08
chaosrts.csv,0.84,0.97,0.75,0.53,0.28,0.54,1.0,0.67,0.67,0.57,0.96,0.9,1.0,0.96,0.82,0.62,0.64,1.0,0.0,0.92
exl.csv,0.55,0.49,0.75,0.51,0.31,0.49,0.5,0.59,0.62,0.09,0.54,0.62,0.22,0.46,0.29,0.57,0.21,0.2,0.42,0.0
gnome-jabber.csv,0.75,0.77,1.0,0.72,0.76,0.62,0.99,0.75,0.92,0.91,0.65,0.69,1.0,0.77,0.55,0.74,0.91,0.4,0.58,0.31
gogoego.csv,0.58,0.15,0.0,0.19,0.31,0.1,0.78,0.0,0.17,0.06,0.2,0.15,0.22,0.54,0.1,0.08,0.03,0.8,0.0,0.23
httpcontentparser.csv,0.12,0.02,0.0,0.01,0.38,0.41,0.04,0.04,0.05,0.0,0.0,0.02,0.29,0.42,0.17,0.09,0.09,0.6,0.0,0.46
impala.csv,0.36,0.2,0.0,0.16,0.52,0.62,0.1,0.22,0.23,0.09,0.17,0.46,0.63,0.69,0.01,0.01,0.03,0.6,0.21,0.54
jaxlib.csv,0.03,0.06,0.25,0.08,0.07,0.06,0.03,0.05,0.03,0.02,0.12,0.0,0.0,0.04,0.0,0.03,0.03,0.0,0.0,0.08
jgameai.csv,0.31,0.11,0.25,0.36,0.59,0.02,0.13,0.38,0.14,0.7,0.5,0.19,0.24,0.31,0.25,0.11,0.3,0.6,0.37,0.92
jhotdraw.csv,0.29,0.03,0.0,0.15,0.55,0.27,0.03,0.28,0.0,0.09,0.13,0.15,0.29,0.35,0.22,0.12,0.15,0.6,0.0,0.54
patterntesting.csv,0.53,0.77,1.0,0.52,0.55,0.56,0.28,0.65,0.7,0.04,0.48,0.56,0.29,0.35,0.65,0.6,0.64,0.2,0.58,0.31
pokeglobal.csv,0.33,0.49,0.5,0.4,0.0,0.37,0.06,0.46,0.59,0.15,0.27,0.92,0.39,0.73,0.63,0.63,0.67,0.0,0.58,0.0
snakeyaml.csv,0.01,0.14,0.25,0.6,0.21,0.63,0.34,0.14,0.29,0.0,0.31,0.56,0.0,0.19,0.0,0.17,0.06,0.6,0.11,0.31
unflobtactical.csv,0.34,0.4,1.0,0.42,0.45,0.38,0.22,0.23,0.24,0.28,0.49,0.38,0.41,0.0,0.1,0.27,0.27,0.6,0.53,0.54
werx.csv,0.99,1.0,0.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.98,0.97,1.0,1.0,1.0
zealos.csv,0.43,0.34,0.5,0.3,0.14,0.21,0.0,0.3,0.22,0.19,0.51,0.4,0.34,0.19,0.09,0.27,0.15,0.2,0.11,0.15
