,net-snmp.csv,flylinkdc.csv,xbrlapi.csv,agilitybook.csv,vdsf.csv,n2cms.csv,jcae.csv,fw4spl.csv,ossbuild.csv,mimosa.csv,grisbi.csv,alpine.csv,tcvp.csv,yarp.csv,nabu-library.csv,virtuoso.csv,enzo.csv,jcl.csv,quickfast.csv,libarchive.csv
agilitybook.csv,0.0,0.03,0.4,0.3,0.0,0.34,0.37,0.41,0.38,0.55,0.07,0.14,0.62,0.97,0.77,0.06,0.32,0.52,0.44,0.04
alpine.csv,0.55,0.75,0.7,0.27,1.0,0.55,0.46,0.39,1.0,1.0,0.07,0.24,0.74,1.0,0.95,0.99,0.04,0.36,1.0,1.0
enzo.csv,0.84,0.56,0.65,0.85,0.99,0.82,0.95,0.82,0.79,0.33,0.43,0.82,0.91,0.53,0.37,0.63,0.28,1.0,0.66,0.59
flylinkdc.csv,0.75,0.26,0.78,0.84,0.97,0.84,0.57,0.66,0.47,0.64,0.0,0.64,0.53,0.55,0.7,0.81,0.52,0.98,0.34,0.41
fw4spl.csv,0.35,0.42,0.25,0.24,0.26,0.46,0.38,0.26,0.61,0.64,0.14,0.61,0.59,0.34,0.05,0.64,0.2,0.28,0.22,0.4
grisbi.csv,0.76,0.73,0.82,0.93,1.0,0.62,0.96,0.99,0.86,0.98,0.14,0.64,0.85,0.97,0.95,0.81,0.72,1.0,0.94,0.65
jcae.csv,0.0,0.1,0.32,0.14,0.01,0.24,0.2,0.28,0.0,0.17,0.14,0.01,0.14,0.11,0.68,0.1,0.0,0.11,0.19,0.0
jcl.csv,0.63,0.23,0.5,0.53,1.0,0.47,0.32,0.51,0.56,0.17,0.0,0.17,0.59,0.18,0.26,0.16,0.28,0.25,0.38,0.47
libarchive.csv,0.61,0.88,0.88,0.61,0.61,0.85,0.94,0.99,0.79,0.9,0.64,0.58,0.92,1.0,0.99,0.79,0.2,1.0,0.97,0.24
mimosa.csv,0.96,0.46,0.68,0.76,0.99,0.93,0.42,0.83,0.9,0.21,0.64,0.7,0.99,0.32,0.86,0.6,0.16,0.43,0.84,0.93
n2cms.csv,0.75,0.63,0.57,0.58,0.4,0.23,0.71,0.09,0.82,0.48,0.29,0.72,0.43,0.26,0.06,0.39,0.88,0.88,0.22,0.71
nabu-library.csv,0.96,0.72,0.45,0.33,0.12,0.42,0.39,0.31,0.37,0.52,0.0,0.79,0.0,0.08,0.24,0.24,0.88,0.48,0.44,0.18
net-snmp.csv,0.41,0.82,0.68,0.4,0.98,0.7,0.47,0.5,0.38,0.76,0.57,0.6,0.93,0.34,0.82,0.64,0.04,0.58,0.62,0.24
ossbuild.csv,0.45,0.16,0.65,0.56,0.15,0.54,0.08,0.45,0.22,0.12,0.07,0.24,0.61,0.39,0.71,0.19,0.12,0.12,0.16,0.34
quickfast.csv,1.0,0.31,0.57,0.8,0.94,0.65,0.85,0.74,0.76,0.43,0.29,0.84,0.7,0.34,0.34,0.3,0.88,1.0,0.25,0.68
tcvp.csv,0.0,0.04,0.08,0.0,0.0,0.07,0.03,0.08,0.04,0.0,0.0,0.01,0.22,0.11,0.3,0.01,0.0,0.0,0.09,0.0
vdsf.csv,0.94,0.82,0.72,0.9,0.13,0.76,0.86,0.45,0.84,0.93,1.0,1.0,0.55,0.87,0.83,0.91,0.96,0.7,0.97,0.99
virtuoso.csv,1.0,0.91,0.78,1.0,0.14,0.92,0.96,0.95,0.53,0.98,1.0,0.99,1.0,0.74,0.99,0.24,1.0,0.97,0.25,0.51
xbrlapi.csv,0.1,0.1,0.45,0.03,0.0,0.35,0.23,0.23,0.0,0.26,0.07,0.04,0.0,0.03,0.74,0.0,0.04,0.25,0.06,0.0
yarp.csv,0.45,0.02,0.48,0.46,0.02,0.64,0.28,0.26,0.0,0.45,0.0,0.18,0.11,0.32,0.77,0.0,0.4,0.56,0.06,0.01
