,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.39,0.94,0.53,0.1,0.75,0.2,0.5,0.37,0.52,0.45
bibedt.csv,0.44,0.06,0.28,0.3,0.0,0.55,0.9,0.48,0.15,0.48
cascading.csv,0.18,0.74,0.72,0.77,0.5,0.55,0.6,0.57,0.99,0.56
firebreath.csv,0.62,0.7,0.95,0.43,0.25,0.65,0.6,0.64,0.4,0.74
fritzing.csv,0.97,0.54,0.4,0.2,0.0,0.7,0.5,0.56,0.24,0.74
httpcontentparser.csv,0.29,0.22,0.05,0.07,0.17,0.75,0.1,0.12,0.06,0.22
mpgravity.csv,0.53,0.57,0.43,0.6,1.0,0.8,0.3,0.77,0.27,0.56
patterntesting.csv,0.74,0.91,0.33,0.97,0.0,0.7,0.4,0.71,0.4,0.72
roller.csv,0.39,0.28,0.82,0.7,0.67,0.75,0.9,0.97,0.54,0.68
xfce.csv,0.53,0.56,0.53,0.37,0.58,0.85,0.6,0.8,0.51,0.99
