,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.91,0.06,0.79,0.95,0.77,0.87,0.97,0.73,0.7,0.84
bibedt.csv,0.61,0.95,0.74,0.7,1.0,0.53,0.1,0.56,0.87,0.58
cascading.csv,0.83,0.62,0.6,0.58,0.54,0.57,0.69,0.53,0.03,0.56
firebreath.csv,0.66,0.85,0.05,0.58,0.75,0.46,0.69,0.5,0.72,0.75
fritzing.csv,0.03,0.68,0.62,0.8,1.0,0.5,0.53,0.53,0.81,0.57
httpcontentparser.csv,0.75,0.82,0.95,0.93,0.83,0.25,0.94,0.88,0.94,0.86
mpgravity.csv,0.55,0.79,0.6,0.41,0.0,0.59,0.73,0.59,0.77,0.59
patterntesting.csv,0.48,0.92,0.72,0.04,1.0,0.55,0.65,0.59,0.67,0.73
roller.csv,0.7,0.84,0.66,0.47,0.49,0.63,0.52,0.03,0.61,0.63
xfce.csv,0.55,0.78,0.65,0.74,0.76,0.56,0.65,0.62,0.75,0.01
