,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.35,1.0,0.34,0.18,0.23,0.07,0.13,0.6,0.78,0.62
bibedt.csv,0.63,0.5,0.5,0.9,0.0,0.19,1.0,0.78,0.75,0.81
cascading.csv,0.62,0.6,0.46,0.48,0.43,0.16,0.21,0.73,0.99,0.78
firebreath.csv,0.52,0.5,0.98,0.72,0.5,0.2,0.21,0.73,0.78,0.7
fritzing.csv,1.0,0.55,0.6,0.75,0.0,0.17,0.42,0.74,0.76,0.77
httpcontentparser.csv,0.54,0.48,0.75,1.0,1.0,1.0,0.08,0.82,1.0,0.58
mpgravity.csv,0.63,0.49,0.58,0.78,1.0,0.15,0.25,0.67,0.8,0.76
patterntesting.csv,0.63,0.53,0.43,0.97,0.0,0.15,0.29,0.67,0.82,0.71
roller.csv,0.51,0.42,0.45,0.55,0.35,0.13,0.3,0.99,0.83,0.74
xfce.csv,0.64,0.49,0.42,0.38,0.21,0.16,0.22,0.67,0.76,1.0
